"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"1472",NA,"WARREN & HOYT","ST","WARREN & HOYT ST","WARREN & HOYT ST","WARREN & HOYT ST","WARREN & HOYT ST"
"1473",NA,"SMITH & CHURCH","ST","SMITH & CHURCH ST","SMITH & CHURCH ST","SMITH & CHURCH ST","SMITH & CHURCH ST"
"1474",NA,"CLASSON AVE & JAMAICA RD","AVE","CLASSON AVE & JAMAICA RD AVE","CLASSON AVE & JAMAICA RD AVE","CLASSON AVE & JAMAICA RD AVE","CLASSON AVE & JAMAICA RD AVE"
"1475",NA,"NYH CLINTON & AMITY","ST","NYH CLINTON & AMITY ST","NYH CLINTON & AMITY ST","NYH CLINTON & AMITY ST","NYH CLINTON & AMITY ST"
"1476",NA,"WASHINGTON & ATLANTIC AVE","AVE","WASHINGTON & ATLANTIC AVE","WASHINGTON & ATLANTIC AVE","WASHINGTON & ATLANTIC AVE","WASHINGTON & ATLANTIC AVE"
"1477",NA,"CLINTON & AMITY","ST","CLINTON & AMITY ST","CLINTON & AMITY ST","CLINTON & AMITY ST","CLINTON & AMITY ST"
"1478",NA,"STATE & BOND","ST","STATE & BOND ST","STATE & BOND ST","STATE & BOND ST","STATE & BOND ST"
"1479",NA,"PEARL & FRONT","ST","PEARL & FRONT ST","PEARL & FRONT ST","PEARL & FRONT ST","PEARL & FRONT ST"
"1480",NA,"ROOT BEER MANUFR GOLD & MYRTLE AVE","AVE","ROOT BEER MANUFR GOLD & MYRTLE AVE","ROOT BEER MANUFR GOLD & MYRTLE AVE","ROOT BEER MANUFR GOLD & MYRTLE AVE","ROOT BEER MANUFR GOLD & MYRTLE AVE"
"1481",NA,"REMSEN & CLINTON","ST","REMSEN & CLINTON ST","REMSEN & CLINTON ST","REMSEN & CLINTON ST","REMSEN & CLINTON ST"
"1482",NA,"19 & 3 AVE GOWANUS","AVE","19 & 3 AVE GOWANUS AVE","19 & 3 AVE GOWANUS AVE","19TH & 3 AVE GOWANUS AVE","19TH & 3 AVE GOWANUS AVE"
"1483",NA,"SACKETT & COLUMBIA","ST","SACKETT & COLUMBIA ST","SACKETT & COLUMBIA ST","SACKETT & COLUMBIA ST","SACKETT & COLUMBIA ST"
"1484",NA,"TOMPKINS PL & HARRISON","PL","TOMPKINS PL & HARRISON PL","TOMPKINS PL & HARRISON PL","TOMPKINS PL & HARRISON PL","TOMPKINS PL & HARRISON PL"
"1485",NA,"PACIFIC & POWERS","ST","PACIFIC & POWERS ST","PACIFIC & POWERS ST","PACIFIC & POWERS ST","PACIFIC & POWERS ST"
"1486",NA,"BUTLER & HOYT","ST","BUTLER & HOYT ST","BUTLER & HOYT ST","BUTLER & HOYT ST","BUTLER & HOYT ST"
"1487",NA,"FRENCH LANGUAGE PEARL","ST","FRENCH LANGUAGE PEARL ST","FRENCH LANGUAGE PEARL ST","FRENCH LANGUAGE PEARL ST","FRENCH LANGUAGE PEARL ST"
"1488",NA,"PEARL EELANEY EDWARD,BUTLER & SMITH","ST","PEARL EELANEY EDWARD,BUTLER & SMITH ST","PEARL EELANEY EDWARD,BUTLER & SMITH ST","PEARL EELANEY EDWARD,BUTLER & SMITH ST","PEARL EELANEY EDWARD,BUTLER & SMITH ST"
"1489",NA,"UNION & HAMILTON AVE","AVE","UNION & HAMILTON AVE","UNION & HAMILTON AVE","UNION & HAMILTON AVE","UNION & HAMILTON AVE"
"1490",NA,"SKILLMAN B FLUSHING AND PARK AVE","AVE","SKILLMAN B FLUSHING AND PARK AVE","SKILLMAN B FLUSHING AND PARK AVE","SKILLMAN B FLUSHING AND PARK AVE","SKILLMAN B FLUSHING AND PARK AVE"
"1491",NA,"HAMILTON AVE & PENNY BRG","AVE","HAMILTON AVE & PENNY BRG AVE","HAMILTON AVE & PENNY BRG AVE","HAMILTON AVE & PENNY BRG AVE","HAMILTON AVE & PENNY BRG AVE"
"1492",NA,"","ST",NA,NA,NA,NA
"1493",NA,"SANDS & PEARL","ST","SANDS & PEARL ST","SANDS & PEARL ST","SANDS & PEARL ST","SANDS & PEARL ST"
"1494",NA,"WYCKOFF & SMITH","ST","WYCKOFF & SMITH ST","WYCKOFF & SMITH ST","WYCKOFF & SMITH ST","WYCKOFF & SMITH ST"
"1495",NA,"MILLINERY ANDC 199 FULTON OP CLARK","ST","MILLINERY ANDC 199 FULTON OP CLARK ST","MILLINERY ANDC 199 FULTON OP CLARK ST","MILLINERY ANDC 199TH FULTON OP CLARK ST","MILLINERY ANDC 199TH FULTON OP CLARK ST"
"1496",251,"ADAMS","ST","251 ADAMS ST","251 ADAMS ST","251 ADAMS ST","251 ADAMS ST"
"1497",NA,"DE LE REE GEORGE A  , BROOKLYN N AND Y EXPRESS 251 ADAMS","ST","DE LE REE GEORGE A  , BROOKLYN N AND Y EXPRESS 251 ADAMS ST","DE LE REE GEORGE A  , BROOKLYN N AND Y EXPRESS 251 ADAMS ST","DE LE REE GEORGE A  , BROOKLYN N AND Y EXPRESS 251ST ADAMS ST","DE LE REE GEORGE A  , BROOKLYN N AND Y EXPRESS 251ST ADAMS ST"
"1498",NA,"COLUMBIA & STATE","ST","COLUMBIA & STATE ST","COLUMBIA & STATE ST","COLUMBIA & STATE ST","COLUMBIA & STATE ST"
"1499",NA,"ROOT BEER MANUFR. FLUSHING & DIVISION AVE","AVE","ROOT BEER MANUFR. FLUSHING & DIVISION AVE","ROOT BEER MANUFR. FLUSHING & DIVISION AVE","ROOT BEER MANUFR. FLUSHING & DIVISION AVE","ROOT BEER MANUFR. FLUSHING & DIVISION AVE"
"1500",NA,"FLATBUSH TURNPIKE & POWERS","ST","FLATBUSH TURNPIKE & POWERS ST","FLATBUSH TURNPIKE & POWERS ST","FLATBUSH TURNPIKE & POWERS ST","FLATBUSH TURNPIKE & POWERS ST"
"1501",NA,"S DEAN & CT","CT","S DEAN & CT","S DEAN & CT","S DEAN & CT","S DEAN & CT"
"1502",NA,"PRES UNION BK NYH 37MONROE PL","PL","PRES UNION BK NYH 37MONROE PL","PRES UNION BK NYH 37MONROE PL","PRES UNION BK NYH 37THMONROE PL","PRES UNION BK NYH 37THMONROE PL"
"1503",NA,"LUGUIER & HICKS","ST","LUGUIER & HICKS ST","LUGUIER & HICKS ST","LUGUIER & HICKS ST","LUGUIER & HICKS ST"
"1504",NA,"SASH AND BLIND MAKER DUFFIELD & MYRTLE AVE","AVE","SASH AND BLIND MAKER DUFFIELD & MYRTLE AVE","SASH AND BLIND MAKER DUFFIELD & MYRTLE AVE","SASH AND BLIND MAKER DUFFIELD & MYRTLE AVE","SASH AND BLIND MAKER DUFFIELD & MYRTLE AVE"
"1505",NA,"RAYMOND & MYRTLE AVE","AVE","RAYMOND & MYRTLE AVE","RAYMOND & MYRTLE AVE","RAYMOND & MYRTLE AVE","RAYMOND & MYRTLE AVE"
"1506",NA,"43. LITTLE","ST","43. LITTLE ST","43. LITTLE ST","43RD. LITTLE ST","43RD. LITTLE ST"
"1507",NA,"NAVY & WILLOUGHBY","ST","NAVY & WILLOUGHBY ST","NAVY & WILLOUGHBY ST","NAVY & WILLOUGHBY ST","NAVY & WILLOUGHBY ST"
"1508",NA,"STEWART & FRONT BR.OOKLYN DIRECTORY.","ST","STEWART & FRONT BR.OOKLYN DIRECTORY. ST","STEWART & FRONT BR.OOKLYN DIRECTORY. ST","STEWART & FRONT BR.OOKLYN DIRECTORY. ST","STEWART & FRONT BR.OOKLYN DIRECTORY. ST"
"1509",NA,"DENDEIR EDWARD,24 N FULTON Y*H 137 SANDS","ST","DENDEIR EDWARD,24 N FULTON Y*H 137 SANDS ST","DENDEIR EDWARD,24 N FULTON Y*H 137 SANDS ST","DENDEIR EDWARD,24TH N FULTON Y*H 137 SANDS ST","DENDEIR EDWARD,24TH N FULTON Y*H 137 SANDS ST"
"1510",80,"MAIN","ST","80 MAIN ST","80 MAIN ST","80 MAIN ST","80 MAIN ST"
"1511",0,"","ST","0  ST","0  ST","0  ST","0  ST"
"1512",NA,"DOUGLASS & SMITH","ST","DOUGLASS & SMITH ST","DOUGLASS & SMITH ST","DOUGLASS & SMITH ST","DOUGLASS & SMITH ST"
"1513",NA,"","ST",NA,NA,NA,NA
"1514",NA,"DICKENSONS ALY & PROSPECT","ALY","DICKENSONS ALY & PROSPECT ALY","DICKENSONS ALY & PROSPECT ALY","DICKENSONS ALY & PROSPECT ALY","DICKENSONS ALY & PROSPECT ALY"
"1515",NA,"CARLL & WILLOUGHBY","ST","CARLL & WILLOUGHBY ST","CARLL & WILLOUGHBY ST","CARLL & WILLOUGHBY ST","CARLL & WILLOUGHBY ST"
"1516",NA,"WARREN & BOND","ST","WARREN & BOND ST","WARREN & BOND ST","WARREN & BOND ST","WARREN & BOND ST"
"1517",NA,"MONTAGUE PL & HENRY","PL","MONTAGUE PL & HENRY PL","MONTAGUE PL & HENRY PL","MONTAGUE PL & HENRY PL","MONTAGUE PL & HENRY PL"
"1518",NA,"25S PEARL","ST","25S PEARL ST","25S PEARL ST","25THS PEARL ST","25THS PEARL ST"
"1519",NA,"WATER & JAY","ST","WATER & JAY ST","WATER & JAY ST","WATER & JAY ST","WATER & JAY ST"
"1520",NA,"WATER & HUDSON AVE","AVE","WATER & HUDSON AVE","WATER & HUDSON AVE","WATER & HUDSON AVE","WATER & HUDSON AVE"
"1521",NA,"185 COLUMBIA & HAMILTON AVE","AVE","185 COLUMBIA & HAMILTON AVE","185 COLUMBIA & HAMILTON AVE","185TH COLUMBIA & HAMILTON AVE","185TH COLUMBIA & HAMILTON AVE"
"1522",NA,"MYRTLE AVE & STEUBEN","ST","MYRTLE AVE & STEUBEN ST","MYRTLE AVE & STEUBEN ST","MYRTLE AVE & STEUBEN ST","MYRTLE AVE & STEUBEN ST"
"1523",NA,"WATER & CONKLINS ALY","ALY","WATER & CONKLINS ALY","WATER & CONKLINS ALY","WATER & CONKLINS ALY","WATER & CONKLINS ALY"
"1524",NA,"SKILLMAN & MYRTLE AVE","AVE","SKILLMAN & MYRTLE AVE","SKILLMAN & MYRTLE AVE","SKILLMAN & MYRTLE AVE","SKILLMAN & MYRTLE AVE"
"1525",NA,"DEAN & VANDERBILT AVE","AVE","DEAN & VANDERBILT AVE","DEAN & VANDERBILT AVE","DEAN & VANDERBILT AVE","DEAN & VANDERBILT AVE"
"1526",NA,"PLYMOUTH & BRG","BRG","PLYMOUTH & BRG","PLYMOUTH & BRG","PLYMOUTH & BRG","PLYMOUTH & BRG"
"1527",NA,"PLYMOUTH & LITTLE","ST","PLYMOUTH & LITTLE ST","PLYMOUTH & LITTLE ST","PLYMOUTH & LITTLE ST","PLYMOUTH & LITTLE ST"
"1528",NA,"FLUSHING AVE & YVILLIAMSBG RD","AVE","FLUSHING AVE & YVILLIAMSBG RD AVE","FLUSHING AVE & YVILLIAMSBG RD AVE","FLUSHING AVE & YVILLIAMSBG RD AVE","FLUSHING AVE & YVILLIAMSBG RD AVE"
"1529",NA,"PROSPECT & JAY","ST","PROSPECT & JAY ST","PROSPECT & JAY ST","PROSPECT & JAY ST","PROSPECT & JAY ST"
"1530",NA,"JORALEMON & FULTON","ST","JORALEMON & FULTON ST","JORALEMON & FULTON ST","JORALEMON & FULTON ST","JORALEMON & FULTON ST"
"1531",NA,"","ST",NA,NA,NA,NA
"1532",NA,"FURMAN & ATLANTIC","ST","FURMAN & ATLANTIC ST","FURMAN & ATLANTIC ST","FURMAN & ATLANTIC ST","FURMAN & ATLANTIC ST"
"1533",NA,"FLUSHING & FRANKLIN AVE","AVE","FLUSHING & FRANKLIN AVE","FLUSHING & FRANKLIN AVE","FLUSHING & FRANKLIN AVE","FLUSHING & FRANKLIN AVE"
"1534",NA,"WILLOW & ATLANTIC","ST","WILLOW & ATLANTIC ST","WILLOW & ATLANTIC ST","WILLOW & ATLANTIC ST","WILLOW & ATLANTIC ST"
"1535",NA,"I HUDSON AVE","AVE","I HUDSON AVE","I HUDSON AVE","I HUDSON AVE","I HUDSON AVE"
"1536",NA,"MYRTLE & KENT AVE","AVE","MYRTLE & KENT AVE","MYRTLE & KENT AVE","MYRTLE & KENT AVE","MYRTLE & KENT AVE"
"1537",NA,"DEAN & VANDERBILT AVE","AVE","DEAN & VANDERBILT AVE","DEAN & VANDERBILT AVE","DEAN & VANDERBILT AVE","DEAN & VANDERBILT AVE"
"1538",NA,"HICKS & UNION","ST","HICKS & UNION ST","HICKS & UNION ST","HICKS & UNION ST","HICKS & UNION ST"
"1539",NA,"JAY & PLYMOUTH","PL","JAY & PLYMOUTH PL","JAY & PLYMOUTH PL","JAY & PLYMOUTH PL","JAY & PLYMOUTH PL"
"1540",NA,"SANDS & PEARL","ST","SANDS & PEARL ST","SANDS & PEARL ST","SANDS & PEARL ST","SANDS & PEARL ST"
"1541",NA,"PACIFIC & HOYT","ST","PACIFIC & HOYT ST","PACIFIC & HOYT ST","PACIFIC & HOYT ST","PACIFIC & HOYT ST"
"1542",NA,"WARREN & SMITH","ST","WARREN & SMITH ST","WARREN & SMITH ST","WARREN & SMITH ST","WARREN & SMITH ST"
"1543",NA,"JOHNSON & PRINCE","ST","JOHNSON & PRINCE ST","JOHNSON & PRINCE ST","JOHNSON & PRINCE ST","JOHNSON & PRINCE ST"
"1544",NA,"RAYMOND & MYRTLE AVE","AVE","RAYMOND & MYRTLE AVE","RAYMOND & MYRTLE AVE","RAYMOND & MYRTLE AVE","RAYMOND & MYRTLE AVE"
"1545",NA,"HARTLS ALY & BRG","ALY","HARTLS ALY & BRG ALY","HARTLS ALY & BRG ALY","HARTLS ALY & BRG ALY","HARTLS ALY & BRG ALY"
"1546",NA,"PARK AVE & CUMBERLAND","AVE","PARK AVE & CUMBERLAND AVE","PARK AVE & CUMBERLAND AVE","PARK AVE & CUMBERLAND AVE","PARK AVE & CUMBERLAND AVE"
"1547",150,"PROSPECT","ST","150 PROSPECT ST","150 PROSPECT ST","150 PROSPECT ST","150 PROSPECT ST"
"1548",NA,"I95 PEARL & TILLARY","ST","I95 PEARL & TILLARY ST","I95 PEARL & TILLARY ST","I95TH PEARL & TILLARY ST","I95TH PEARL & TILLARY ST"
"1549",NA,"10 & 3 AVE GOWANUS","AVE","10 & 3 AVE GOWANUS AVE","10 & 3 AVE GOWANUS AVE","10TH & 3 AVE GOWANUS AVE","10TH & 3 AVE GOWANUS AVE"
"1550",NA,"MYRTLE AVE & CRIPPIEBUSH RD","AVE","MYRTLE AVE & CRIPPIEBUSH RD AVE","MYRTLE AVE & CRIPPIEBUSH RD AVE","MYRTLE AVE & CRIPPIEBUSH RD AVE","MYRTLE AVE & CRIPPIEBUSH RD AVE"
"1551",NA,"UNION & HAMILTON AVE","AVE","UNION & HAMILTON AVE","UNION & HAMILTON AVE","UNION & HAMILTON AVE","UNION & HAMILTON AVE"
"1552",NA,"PACIFIC OP OXFORD ILL","ST","PACIFIC OP OXFORD ILL ST","PACIFIC OP OXFORD ILL ST","PACIFIC OP OXFORD ILL ST","PACIFIC OP OXFORD ILL ST"
"1553",NA,"MYRTLE & CARLTON AVE","AVE","MYRTLE & CARLTON AVE","MYRTLE & CARLTON AVE","MYRTLE & CARLTON AVE","MYRTLE & CARLTON AVE"
"1554",NA,"AMITY & HICKS","ST","AMITY & HICKS ST","AMITY & HICKS ST","AMITY & HICKS ST","AMITY & HICKS ST"
"1555",NA,"SL LUKES WASHINGTON & FULTON AVE MYRTLE AVE","AVE","SL LUKES WASHINGTON & FULTON AVE MYRTLE AVE","SL LUKES WASHINGTON & FULTON AVE MYRTLE AVE","SL LUKES WASHINGTON & FULTON AVE MYRTLE AVE","SL LUKES WASHINGTON & FULTON AVE MYRTLE AVE"
"1556",NA,"CANTON & nan","ST","CANTON & NAN ST","CANTON & NAN ST","CANTON & NAN ST","CANTON & NAN ST"
"1557",NA,"SMITH & BERGEN","ST","SMITH & BERGEN ST","SMITH & BERGEN ST","SMITH & BERGEN ST","SMITH & BERGEN ST"
"1558",19,"AND 3 AVE GOWANUS","AVE","19 AND 3 AVE GOWANUS AVE","NINETEEN AND 3 AVE GOWANUS AVE","19 AND 3RD AVE GOWANUS AVE","NINETEEN AND 3RD AVE GOWANUS AVE"
"1559",NA,"NAVY & BOLIVAR","ST","NAVY & BOLIVAR ST","NAVY & BOLIVAR ST","NAVY & BOLIVAR ST","NAVY & BOLIVAR ST"
"1560",NA,"3 AVE & 20 GOWANUS","AVE","3 AVE & 20 GOWANUS AVE","3 AVE & 20 GOWANUS AVE","3RD AVE & 20 GOWANUS AVE","3RD AVE & 20 GOWANUS AVE"
"1561",NA,"CLINTON & FLUSHING AVE","AVE","CLINTON & FLUSHING AVE","CLINTON & FLUSHING AVE","CLINTON & FLUSHING AVE","CLINTON & FLUSHING AVE"
"1562",NA,"DEAN & BOERUM","ST","DEAN & BOERUM ST","DEAN & BOERUM ST","DEAN & BOERUM ST","DEAN & BOERUM ST"
"1563",NA,"FLEET OP BOLIVAR","ST","FLEET OP BOLIVAR ST","FLEET OP BOLIVAR ST","FLEET OP BOLIVAR ST","FLEET OP BOLIVAR ST"
"1564",NA,"FURMAN & JORALEMON","ST","FURMAN & JORALEMON ST","FURMAN & JORALEMON ST","FURMAN & JORALEMON ST","FURMAN & JORALEMON ST"
"1565",NA,"NAVY & DE KALB AVE","AVE","NAVY & DE KALB AVE","NAVY & DE KALB AVE","NAVY & DE KALB AVE","NAVY & DE KALB AVE"
"1566",NA,"","ST",NA,NA,NA,NA
"1567",NA,"COLUMBIA & STATE","ST","COLUMBIA & STATE ST","COLUMBIA & STATE ST","COLUMBIA & STATE ST","COLUMBIA & STATE ST"
"1568",NA,"WATCR & HUDSON AVE","AVE","WATCR & HUDSON AVE","WATCR & HUDSON AVE","WATCR & HUDSON AVE","WATCR & HUDSON AVE"
"1569",NA,"RAYMOND & JAIL","ST","RAYMOND & JAIL ST","RAYMOND & JAIL ST","RAYMOND & JAIL ST","RAYMOND & JAIL ST"
"1570",NA,"1U7 HUDSON AVE","AVE","1U7 HUDSON AVE","1U7 HUDSON AVE","1STU7 HUDSON AVE","1STU7 HUDSON AVE"
"1571",NA,"","ST",NA,NA,NA,NA
"1572",NA,"CT & SACKETT","ST","CT & SACKETT ST","CT & SACKETT ST","CT & SACKETT ST","CT & SACKETT ST"
"1573",NA,"CUMBERLAUD & MYRTLE AVE","AVE","CUMBERLAUD & MYRTLE AVE","CUMBERLAUD & MYRTLE AVE","CUMBERLAUD & MYRTLE AVE","CUMBERLAUD & MYRTLE AVE"
"1574",NA,"COLUMBIA & HARRISON","ST","COLUMBIA & HARRISON ST","COLUMBIA & HARRISON ST","COLUMBIA & HARRISON ST","COLUMBIA & HARRISON ST"
"1575",NA,"FURMAN & JORALEMON","ST","FURMAN & JORALEMON ST","FURMAN & JORALEMON ST","FURMAN & JORALEMON ST","FURMAN & JORALEMON ST"
"1576",NA,"ATLANTIC AVE OP CLASSON AVE","AVE","ATLANTIC AVE OP CLASSON AVE","ATLANTIC AVE OP CLASSON AVE","ATLANTIC AVE OP CLASSON AVE","ATLANTIC AVE OP CLASSON AVE"
"1577",NA,"STEWART & FRONT","ST","STEWART & FRONT ST","STEWART & FRONT ST","STEWART & FRONT ST","STEWART & FRONT ST"
"1578",3,"AVE GOWANUS","AVE","3 AVE GOWANUS AVE","THREE AVE GOWANUS AVE","3 AVE GOWANUS AVE","THREE AVE GOWANUS AVE"
"1579",NA,"SOUTH FERRY 4 COTTAGE ROW COLUMBIA","ROW","SOUTH FERRY 4 COTTAGE ROW COLUMBIA ROW","SOUTH FERRY 4 COTTAGE ROW COLUMBIA ROW","SOUTH FERRY 4TH COTTAGE ROW COLUMBIA ROW","SOUTH FERRY 4TH COTTAGE ROW COLUMBIA ROW"
"1580",NA,"KENT & FLUSHING AVE","AVE","KENT & FLUSHING AVE","KENT & FLUSHING AVE","KENT & FLUSHING AVE","KENT & FLUSHING AVE"
"1581",NA,"DUFFIELD & FULTON AVE","AVE","DUFFIELD & FULTON AVE","DUFFIELD & FULTON AVE","DUFFIELD & FULTON AVE","DUFFIELD & FULTON AVE"
"1582",NA,"CT & PACIFIC","ST","CT & PACIFIC ST","CT & PACIFIC ST","CT & PACIFIC ST","CT & PACIFIC ST"
"1583",NA,"MARSHALL & HUDSON AVE","AVE","MARSHALL & HUDSON AVE","MARSHALL & HUDSON AVE","MARSHALL & HUDSON AVE","MARSHALL & HUDSON AVE"
"1584",NA,"FRANKLIN & PARK AVE","AVE","FRANKLIN & PARK AVE","FRANKLIN & PARK AVE","FRANKLIN & PARK AVE","FRANKLIN & PARK AVE"
"1585",NA,"BEDFORD & FLUSHING AVE","AVE","BEDFORD & FLUSHING AVE","BEDFORD & FLUSHING AVE","BEDFORD & FLUSHING AVE","BEDFORD & FLUSHING AVE"
"1586",NA,"JAY & WATER","ST","JAY & WATER ST","JAY & WATER ST","JAY & WATER ST","JAY & WATER ST"
"1587",NA,"","ST",NA,NA,NA,NA
"1588",NA,"PACIFIC & CT","CT","PACIFIC & CT","PACIFIC & CT","PACIFIC & CT","PACIFIC & CT"
"1589",NA,"SNIP JOINER 167 PROSPECT","ST","SNIP JOINER 167 PROSPECT ST","SNIP JOINER 167 PROSPECT ST","SNIP JOINER 167TH PROSPECT ST","SNIP JOINER 167TH PROSPECT ST"
"1590",NA,"CHARLES & SANDS","ST","CHARLES & SANDS ST","CHARLES & SANDS ST","CHARLES & SANDS ST","CHARLES & SANDS ST"
"1591",NA,"SANDS & CHARLES","ST","SANDS & CHARLES ST","SANDS & CHARLES ST","SANDS & CHARLES ST","SANDS & CHARLES ST"
"1592",NA,"15S N PEARL YH ISO CLINTON","ST","15S N PEARL YH ISO CLINTON ST","15S N PEARL YH ISO CLINTON ST","15THS N PEARL YH ISO CLINTON ST","15THS N PEARL YH ISO CLINTON ST"
"1593",NA,"CLASSON & MYRTLE AVE","AVE","CLASSON & MYRTLE AVE","CLASSON & MYRTLE AVE","CLASSON & MYRTLE AVE","CLASSON & MYRTLE AVE"
"1594",NA,"AMITY & COLUMBIA","ST","AMITY & COLUMBIA ST","AMITY & COLUMBIA ST","AMITY & COLUMBIA ST","AMITY & COLUMBIA ST"
"1595",NA,"FURMAN & MONTAGUE FERRY","ST","FURMAN & MONTAGUE FERRY ST","FURMAN & MONTAGUE FERRY ST","FURMAN & MONTAGUE FERRY ST","FURMAN & MONTAGUE FERRY ST"
"1596",NA,"","ST",NA,NA,NA,NA
"1597",NA,"PACIFIC & BOND","ST","PACIFIC & BOND ST","PACIFIC & BOND ST","PACIFIC & BOND ST","PACIFIC & BOND ST"
"1598",NA,"FURMAN & GRANITE BUILDINGS","ST","FURMAN & GRANITE BUILDINGS ST","FURMAN & GRANITE BUILDINGS ST","FURMAN & GRANITE BUILDINGS ST","FURMAN & GRANITE BUILDINGS ST"
"1599",NA,"AMITY & WILLOW","ST","AMITY & WILLOW ST","AMITY & WILLOW ST","AMITY & WILLOW ST","AMITY & WILLOW ST"
"1600",NA,"COLUMBIA & WARREN","ST","COLUMBIA & WARREN ST","COLUMBIA & WARREN ST","COLUMBIA & WARREN ST","COLUMBIA & WARREN ST"
"1601",NA,"COLUMBIA & AMITY","ST","COLUMBIA & AMITY ST","COLUMBIA & AMITY ST","COLUMBIA & AMITY ST","COLUMBIA & AMITY ST"
"1602",NA,"1 HALLS BUILDINGS FURMAN OHERTY WILLIAM,MYRTLE AVE & RAYMOND","AVE","1 HALLS BUILDINGS FURMAN OHERTY WILLIAM,MYRTLE AVE & RAYMOND AVE","1 HALLS BUILDINGS FURMAN OHERTY WILLIAM,MYRTLE AVE & RAYMOND AVE","1ST HALLS BUILDINGS FURMAN OHERTY WILLIAM,MYRTLE AVE & RAYMOND AVE","1ST HALLS BUILDINGS FURMAN OHERTY WILLIAM,MYRTLE AVE & RAYMOND AVE"
"1603",NA,"COLUMBIA & PACIFIC","ST","COLUMBIA & PACIFIC ST","COLUMBIA & PACIFIC ST","COLUMBIA & PACIFIC ST","COLUMBIA & PACIFIC ST"
"1604",NA,"NAVY & TILLARY","ST","NAVY & TILLARY ST","NAVY & TILLARY ST","NAVY & TILLARY ST","NAVY & TILLARY ST"
"1605",NA,"TILLARY & RAYMOND","ST","TILLARY & RAYMOND ST","TILLARY & RAYMOND ST","TILLARY & RAYMOND ST","TILLARY & RAYMOND ST"
"1606",NA,"PRINCE & TILLARY","ST","PRINCE & TILLARY ST","PRINCE & TILLARY ST","PRINCE & TILLARY ST","PRINCE & TILLARY ST"
"1607",NA,"CARLTON & PARK AVE","AVE","CARLTON & PARK AVE","CARLTON & PARK AVE","CARLTON & PARK AVE","CARLTON & PARK AVE"
"1608",NA,"FRANKLIN & DE KALB AVE","AVE","FRANKLIN & DE KALB AVE","FRANKLIN & DE KALB AVE","FRANKLIN & DE KALB AVE","FRANKLIN & DE KALB AVE"
"1609",NA,"PLYMOUTH & PEARL","ST","PLYMOUTH & PEARL ST","PLYMOUTH & PEARL ST","PLYMOUTH & PEARL ST","PLYMOUTH & PEARL ST"
"1610",NA,"BOND & BALTIC","ST","BOND & BALTIC ST","BOND & BALTIC ST","BOND & BALTIC ST","BOND & BALTIC ST"
"1611",NA,"NAVY & WILLOUGHBY","ST","NAVY & WILLOUGHBY ST","NAVY & WILLOUGHBY ST","NAVY & WILLOUGHBY ST","NAVY & WILLOUGHBY ST"
"1612",NA,"ANNS CHURCH ORANGE","ST","ANNS CHURCH ORANGE ST","ANNS CHURCH ORANGE ST","ANNS CHURCH ORANGE ST","ANNS CHURCH ORANGE ST"
"1613",NA,"STATE & NEVINS","ST","STATE & NEVINS ST","STATE & NEVINS ST","STATE & NEVINS ST","STATE & NEVINS ST"
"1614",NA,"PACIFIC & WILLOW","ST","PACIFIC & WILLOW ST","PACIFIC & WILLOW ST","PACIFIC & WILLOW ST","PACIFIC & WILLOW ST"
"1615",NA,"VANBRUNT & WOLCOTT RED HOOK","ST","VANBRUNT & WOLCOTT RED HOOK ST","VANBRUNT & WOLCOTT RED HOOK ST","VANBRUNT & WOLCOTT RED HOOK ST","VANBRUNT & WOLCOTT RED HOOK ST"
"1616",NA,"TILLARY & PRINCE","ST","TILLARY & PRINCE ST","TILLARY & PRINCE ST","TILLARY & PRINCE ST","TILLARY & PRINCE ST"
"1617",NA,"PACIFIC & SMITH","ST","PACIFIC & SMITH ST","PACIFIC & SMITH ST","PACIFIC & SMITH ST","PACIFIC & SMITH ST"
"1618",NA,"19 & 3 AVE GOWANUS","AVE","19 & 3 AVE GOWANUS AVE","19 & 3 AVE GOWANUS AVE","19TH & 3 AVE GOWANUS AVE","19TH & 3 AVE GOWANUS AVE"
"1619",NA,"BEDFORD & FLUSHING AVE","AVE","BEDFORD & FLUSHING AVE","BEDFORD & FLUSHING AVE","BEDFORD & FLUSHING AVE","BEDFORD & FLUSHING AVE"
"1620",NA,"AMITY & COLUMBIA","ST","AMITY & COLUMBIA ST","AMITY & COLUMBIA ST","AMITY & COLUMBIA ST","AMITY & COLUMBIA ST"
"1621",NA,"PLYMOUTH & JAY","ST","PLYMOUTH & JAY ST","PLYMOUTH & JAY ST","PLYMOUTH & JAY ST","PLYMOUTH & JAY ST"
"1622",NA,"RAYMOND & LAFAYETTE","ST","RAYMOND & LAFAYETTE ST","RAYMOND & LAFAYETTE ST","RAYMOND & LAFAYETTE ST","RAYMOND & LAFAYETTE ST"
"1623",NA,"AMITY & COLUMBIA","ST","AMITY & COLUMBIA ST","AMITY & COLUMBIA ST","AMITY & COLUMBIA ST","AMITY & COLUMBIA ST"
"1624",NA,"WILLOW & PACIFIC","ST","WILLOW & PACIFIC ST","WILLOW & PACIFIC ST","WILLOW & PACIFIC ST","WILLOW & PACIFIC ST"
