Full Address,H Status-flag,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City,new h address-flag,new h house number,new h street name,new h city,new h county,unidentified h info,new h street 1,new h street 2,new h street type,h house number modifier,new address2 house number,new address2 street name,new address2 street 1,new address2 street 2,new address2 street type,new address2 city,new address2 county,unidentified address2 info,address2 house number modifier
"316 B.way, h. 33 W. 12th",TRUE,H. 33 W. 12TH,33,W. 12TH,,316 B.way,316,B.way,,start with h,33,W 12,,,TH,,,,,,,,,,,,,
"9 Fulton mkt, h. 256 Madison",TRUE,H. 256 MADISON,256,MADISON,,9 Fulton mkt,9,Fulton mkt,,start with h,256,MADISON,,,,,,,,,,,,,,,,
"14 lower Fulton market, h. 256 Madison",TRUE,H. 256 MADISON,256,MADISON,,14 lower Fulton market,14,lower Fulton market,,start with h,256,MADISON,,,,,,,,,,,,,,,,
"19 City Hall, h. 97 Varick",TRUE,H. 97 VARICK,97,VARICK,,19 City Hall,19,City Hall,,start with h,97,VARICK,,,,,,,,,,,,,,,,
"86 West, h. 3 Depau row",TRUE,H. 3 DEPAU ROW,3,DEPAU ROW,,86 West,86,West,,start with h,,3,,,DEPAU ROW,,,,,,,,,,,,,
"464 Grand, h. 464 Grand",TRUE,H. 464 GRAND,464,GRAND,,464 Grand,464,Grand,,start with h,464,GRAND,,,,,,,,,,,,,,,,
"85 West, h. 3 Depau row",TRUE,H. 3 DEPAU ROW,3,DEPAU ROW,,85 West,85,West,,start with h,,3,,,DEPAU ROW,,,,,,,,,,,,,
"142 Front, h. 27 Waverly pl",TRUE,H. 27 WAVERLY PL,27,WAVERLY PL,,142 Front,142,Front,,start with h,,27,WAVERLY,,PL,,,,,,,,,,,,,
2.5 Maiden la. h. 48 Crosby,Assume,2.5 MAIDEN LA. H. 48 CROSBY,,,2.5 MAIDEN LA. H. 48 CROSBY,,,,,h in between,48,CROSBY,,,,,,,,2,MAIDEN LA,,,,,,.,2.5
"109 Nassau, h. 35 Macdougl",TRUE,H. 35 MACDOUGL,35,MACDOUGL,,109 Nassau,109,Nassau,,start with h,,35,,,MACDOUGL,,,,,,,,,,,,,
"36 Platt, h. 46 Sands , Bklyn",TRUE,"H. 46 SANDS , BKLYN",46,"SANDS , BKLYN",,36 Platt,36,Platt,,start with h,46,SANDS,BKLYN,,",",,,,,,,,,,,,,
"80 Nassau, h. 26 W. 15th",TRUE,H. 26 W. 15TH,26,W. 15TH,,80 Nassau,80,Nassau,,start with h,26,W 15,,,TH,,,,,,,,,,,,,
"218 Varick, h. 218 Varick",TRUE,H. 218 VARICK,218,VARICK,,218 Varick,218,Varick,,start with h,218,VARICK,,,,,,,,,,,,,,,,
"72 Cherry, h. Newtown , L. I.",TRUE,"H. NEWTOWN , L. I.",,,"NEWTOWN , L. I.",72 Cherry,72,Cherry,,start with h,,NEW,L. I.,,"TOWN ,",,,,,,,,,,,,,
"136 Spring, h. 136 Spring , office and residence",TRUE,"H. 136 SPRING , OFFICE AND RESIDENCE",136,"SPRING , OFFICE AND RESIDENCE",,136 Spring,136,Spring,,start with h,136,SPRING,,,", OFFICE AND RESIDENCE",,,,,,,,,,,,,
h. 188 Stanton,TRUE,H. 188 STANTON,188,STANTON,,,,,,start with h,188,STANTON,,,,,,,,,,,,,,,,
"50 Water, h. Pacific n. Hoyt , E. Brooklyn",TRUE,"H. PACIFIC N. HOYT , E. BROOKLYN",,,"PACIFIC N. HOYT , E. BROOKLYN",50 Water,50,Water,,start with h,,,BROOKLYN,,"N.  , E",PACIFIC,HOYT,near,,,,,,,,,,
22 Greenwich Av. h. 22 Greenwich Av.,Assume,22 GREENWICH AV. H. 22 GREENWICH AV.,22,GREENWICH AV. H. 22 GREENWICH AV.,,,,,,h in between,22,GREENWICH,,,AV,,,,,22,GREENWICH,,,,,,AV,
h. 202 Grand,TRUE,H. 202 GRAND,202,GRAND,,,,,,start with h,202,GRAND,,,,,,,,,,,,,,,,
"308 Second, h. 556 Fourth",TRUE,H. 556 4TH,556,FOURTH,,308 Second,308,Second,,start with h,556,4,,,TH,,,,,,,,,,,,,
"250 & 428 Greenwich , 76 Vesey & Grand c. Clinton, h. 89 Murray",TRUE,H. 89 MURRAY,89,MURRAY,,"250 & 428 Greenwich , 76 Vesey & Grand c. Clinton",250,"& 428 Greenwich , 76 Vesey & Grand c. Clinton",,start with h,89,MURRAY,,,,,,,,,,,,,,,,
"96 Wall, h. 74 Amity",TRUE,H. 74 AMITY,74,AMITY,,96 Wall,96,Wall,,start with h,74,AMITY,,,,,,,,,,,,,,,,
"22 Beaver, h. 163 Barrow",TRUE,H. 163 BARROW,163,BARROW,,22 Beaver,22,Beaver,,start with h,163,BARROW,,,,,,,,,,,,,,,,
"22 Beaver, h. 9 Leroy",TRUE,H. 9 LEROY,9,LEROY,,22 Beaver,22,Beaver,,start with h,9,LEROY,,,,,,,,,,,,,,,,
"129 & 131 Nassau, h. 233 E. Broadway-",TRUE,H. 233 E. BROADWAY,233,E. BROADWAY-,,129 & 131 Nassau,129,& 131 Nassau,,start with h,233,E BROADWAY,,,,,,,,,,,,,,,,
h. 90 Vandam,TRUE,H. 90 VANDAM,90,VANDAM,,,,,,start with h,90,VANDAM,,,,,,,,,,,,,,,,
"184 Front, h. 17 Lispenard",TRUE,H. 17 LISPENARD,17,LISPENARD,,184 Front,184,Front,,start with h,17,LISPENARD,,,,,,,,,,,,,,,,
"104 William, h. 245 W. 21st",TRUE,H. 245 W. 21ST,245,W. 21ST,,104 William,104,William,,start with h,245,W 21,,,ST,,,,,,,,,,,,,
"8 Clinton market, h. 90 Vandam",TRUE,H. 90 VANDAM,90,VANDAM,,8 Clinton market,8,Clinton market,,start with h,90,VANDAM,,,,,,,,,,,,,,,,
h. 672 Water,TRUE,H. 672 WATER,672,WATER,,,,,,start with h,672,WATER,,,,,,,,,,,,,,,,
"280 Grand, h. 280 Grand",TRUE,H. 280 GRAND,280,GRAND,,280 Grand,280,Grand,,start with h,280,GRAND,,,,,,,,,,,,,,,,
"60 Fulton, h. 264 Division",TRUE,H. 264 DIVISION,264,DIVISION,,60 Fulton,60,Fulton,,start with h,264,DIVISION,,,,,,,,,,,,,,,,
"218 Varick, h. 218 Varick",TRUE,H. 218 VARICK,218,VARICK,,218 Varick,218,Varick,,start with h,218,VARICK,,,,,,,,,,,,,,,,
"h. 3 Depau row , Bleecker",TRUE,"H. 3 DEPAU ROW , BLEECKER",3,"DEPAU ROW , BLEECKER",,,,,,start with h,,3,LEE,,"DEPAU ROW , BCKER",,,,,,,,,,,,,
"257 Broadway, h. Bowerv c. Broome",TRUE,H. BOWERV C. BROOME,,,BOWERV C. BROOME,257 Broadway,257,Broadway,,start with h,,BROOME,,,BOWERV C.,,,,,,,,,,,,,
"44 Allen, h. 44 Allen",TRUE,H. 44 ALLEN,44,ALLEN,,44 Allen,44,Allen,,start with h,44,ALLEN,,,,,,,,,,,,,,,,
"62 Cortlandt, h. 25 Vandam",TRUE,H. 25 VANDAM,25,VANDAM,,62 Cortlandt,62,Cortlandt,,start with h,25,VANDAM,,,,,,,,,,,,,,,,
h. 192 Seventh,TRUE,H. 192 7TH,192,SEVENTH,,,,,,start with h,192,7,,,TH,,,,,,,,,,,,,
"52 Water, h. 290 E. Broadway-",TRUE,H. 290 E. BROADWAY,290,E. BROADWAY-,,52 Water,52,Water,,start with h,290,E BROADWAY,,,,,,,,,,,,,,,,
h. 36 Scammel,TRUE,H. 36 SCAMMEL,36,SCAMMEL,,,,,,start with h,36,SCAMMEL,,,,,,,,,,,,,,,,
"178 Pearl, h. 25 Monroe",TRUE,H. 25 MONROE,25,MONROE,,178 Pearl,178,Pearl,,start with h,25,MONROE,,,,,,,,,,,,,,,,
"211.5 Division, h. 211.5 Division",TRUE,H. 211.5 DIVISION,,,211.5 DIVISION,211.5 Division,,,211.5 Division,start with h,211,DIVISION,,,,,,,211.5,,,,,,,,,
"178 South, h. 10 Monroe",TRUE,H. 10 MONROE,10,MONROE,,178 South,178,South,,start with h,10,MONROE,,,,,,,,,,,,,,,,
h. 20 Prince,TRUE,H. 20 PRINCE,20,PRINCE,,,,,,start with h,20,PRINCE,,,,,,,,,,,,,,,,
"81 Barclay, h. 93 Bank",TRUE,H. 93 BANK,93,BANK,,81 Barclay,81,Barclay,,start with h,93,BANK,,,,,,,,,,,,,,,,
"216 Broadway, h. 202 Fulton",TRUE,H. 202 FULTON,202,FULTON,,216 Broadway,216,Broadway,,start with h,202,FULTON,,,,,,,,,,,,,,,,
h. 31 Union pl,TRUE,H. 31 UNION PL,31,UNION PL,,,,,,start with h,31,UNION PL,,,,,,,,,,,,,,,,
"333 Broadway & 76 Anthony, h. 333 Broadway",TRUE,H. 333 BROADWAY,333,BROADWAY,,333 Broadway & 76 Anthony,333,Broadway & 76 Anthony,,start with h,333,BROADWAY,,,,,,,,,,,,,,,,
h. 137 Houston,TRUE,H. 137 HOUSTON,137,HOUSTON,,,,,,start with h,137,HOUSTON,,,,,,,,,,,,,,,,
h. 68 Horatio,TRUE,H. 68 HORATIO,68,HORATIO,,,,,,start with h,68,HORATIO,,,,,,,,,,,,,,,,
"79 W. 24th, h. 20 Prince",TRUE,H. 20 PRINCE,20,PRINCE,,79 W. 24th,79,W. 24th,,start with h,20,PRINCE,,,,,,,,,,,,,,,,
h. 46 Av. D,TRUE,H. 46 AV. D,46,AV. D,,,,,,start with h,46,AV D,,,,,,,,,,,,,,,,
h. 13 Jay,TRUE,H. 13 JAY,13,JAY,,,,,,start with h,13,JAY,,,,,,,,,,,,,,,,
"631 Washgtn, h. 631 Washgtn",TRUE,H. 631 WASHGTN,631,WASHGTN,,631 Washgtn,631,Washgtn,,start with h,631,WASHGTN,,,,,,,,,,,,,,,,
"181 Varick, h. 181 Varick",TRUE,H. 181 VARICK,181,VARICK,,181 Varick,181,Varick,,start with h,181,VARICK,,,,,,,,,,,,,,,,
"59 Broad, h. 2 Remsen , Brooklyn",TRUE,"H. 2 REMSEN , BROOKLYN",2,"REMSEN ,",BROOKLYN,59 Broad,59,Broad,,start with h,2,REMSEN,BROOKLYN,,",",,,,,,,,,,,,,
"66 Bowery, h. 66 Bowery",TRUE,H. 66 BOWERY,66,BOWERY,,66 Bowery,66,Bowery,,start with h,66,BOWERY,,,,,,,,,,,,,,,,
"187 Cherry, h. 187 Cherry",TRUE,H. 187 CHERRY,187,CHERRY,,187 Cherry,187,Cherry,,start with h,187,CHERRY,,,,,,,,,,,,,,,,
"76 Av. 4, h. 84 Av. 4",TRUE,H. 84 AV. 4,84,AV. 4,,76 Av. 4,76,Av. 4,,start with h,84,4,,,8 AV,,,,,,,,,,,,,
"74 Centre, h. West Farms",TRUE,H. WEST FARMS,,,WEST FARMS,74 Centre,74,Centre,,start with h,,,WEST FARMS,,,,,,,,,,,,,,,
"50 Allen, h. 50 Allen",TRUE,H. 50 ALLEN,50,ALLEN,,50 Allen,50,Allen,,start with h,50,ALLEN,,,,,,,,,,,,,,,,
h. 268 Second,TRUE,H. 268 2ND,268,SECOND,,,,,,start with h,268,2,,,68 ND,,,,,,,,,,,,,
"63.5 Division, h. 63.5 Division",TRUE,H. 63.5 DIVISION,,,63.5 DIVISION,63.5 Division,,,63.5 Division,start with h,63,DIVISION,,,,,,,63.5,,,,,,,,,
"355 Broadway, h. 9 Hubert",TRUE,H. 9 HUBERT,9,HUBERT,,355 Broadway,355,Broadway,,start with h,,9,HUB,,ERT,,,,,,,,,,,,,
h. 259 Seventh,TRUE,H. 259 7TH,259,SEVENTH,,,,,,start with h,259,7,,,TH,,,,,,,,,,,,,
"52 E. 13th, h. 131 Av. 4",TRUE,H. 131 AV. 4,131,AV. 4,,52 E. 13th,52,E. 13th,,start with h,131,4,,,AV,,,,,,,,,,,,,
"40 Broadway, h. Brooklyn",TRUE,H. BROOKLYN,,,,40 Broadway,40,Broadway,,start with h,,,BROOKLYN,,,,,,,,,,,,,,,
"15 Nassau, h. 35 Greenwich",TRUE,H. 35 GREENWICH,35,GREENWICH,,15 Nassau,15,Nassau,,start with h,35,GREENWICH,,,,,,,,,,,,,,,,
h. W. 42d n. Av. 9,TRUE,H. W. 42D N. AV. 9,,,W. 42D N. AV. 9,,,,,start with h,,,,,D N. AV,W 42,9,near,,,,,,,,,,
"39 Bowery, h. 39 Bowery",TRUE,H. 39 BOWERY,39,BOWERY,,39 Bowery,39,Bowery,,start with h,39,BOWERY,,,,,,,,,,,,,,,,
"252 Broadway, h. 80 Sixth",TRUE,H. 80 6TH,80,SIXTH,,252 Broadway,252,Broadway,,start with h,80,6,,,TH,,,,,,,,,,,,,
"252 Broadway, h. 2 Bond",TRUE,H. 2 BOND,2,BOND,,252 Broadway,252,Broadway,,start with h,2,BOND,,,,,,,,,,,,,,,,
h. 10 Stanton,TRUE,H. 10 STANTON,10,STANTON,,,,,,start with h,10,STANTON,,,,,,,,,,,,,,,,
"316 Bowery, h. 316 Bowery",TRUE,H. 316 BOWERY,316,BOWERY,,316 Bowery,316,Bowery,,start with h,316,BOWERY,,,,,,,,,,,,,,,,
"185 Chatham, h. 50 Mvrtle Av. Brooklyn 3",TRUE,H. 50 MVRTLE AV. BROOKLYN 3,50,MVRTLE AV.  3,BROOKLYN,185 Chatham,185,Chatham,,start with h,50,3,BROOKLYN,,MVRTLE AV,,,,,,,,,,,,,
h. 159 Madison,TRUE,H. 159 MADISON,159,MADISON,,,,,,start with h,159,MADISON,,,,,,,,,,,,,,,,
77 Maiden la. h. E. 27th n. Lexington Av,Assume,77 MAIDEN LA. H. E. 27TH N. LEXINGTON AV,77,MAIDEN LA. H. E. 27TH N. LEXINGTON AV,,,,,,h in between,,,,,TH N.  AV,E 27,LEXINGTON,near,,77,MAIDEN LA,,,,,,.,
h. Yonkers,TRUE,H. YONKERS,,,,,,,,start with h,,,YONKERS,,,,,,,,,,,,,,,
"429 Pearl, h. 429 Pearl",TRUE,H. 429 PEARL,429,PEARL,,429 Pearl,429,Pearl,,start with h,429,PEARL,,,,,,,,,,,,,,,,
h. 45 White,TRUE,H. 45 WHITE,45,WHITE,,,,,,start with h,45,WHITE,,,,,,,,,,,,,,,,
"76 Dey, h. 256 Hudson",TRUE,H. 256 HUDSON,256,HUDSON,,76 Dey,76,Dey,,start with h,256,HUDSON,,,,,,,,,,,,,,,,
h. 144 Grand,TRUE,H. 144 GRAND,144,GRAND,,,,,,start with h,144,GRAND,,,,,,,,,,,,,,,,
"35 Cortlandt, h. 53 Rose",TRUE,H. 53 ROSE,53,ROSE,,35 Cortlandt,35,Cortlandt,,start with h,53,ROSE,,,,,,,,,,,,,,,,
"17 Beekman, h. 17 Beekman",TRUE,H. 17 BEEKMAN,17,BEEKMAN,,17 Beekman,17,Beekman,,start with h,17,BEEKMAN,,,,,,,,,,,,,,,,
"21 Beaver, h. 271 State , Brooklyn",TRUE,"H. 271 STATE , BROOKLYN",271,"STATE ,",BROOKLYN,21 Beaver,21,Beaver,,start with h,271,STATE,BROOKLYN,,",",,,,,,,,,,,,,
"135 Water, h. 101 Cedar",TRUE,H. 101 CEDAR,101,CEDAR,,135 Water,135,Water,,start with h,101,CEDAR,,,,,,,,,,,,,,,,
h. 261 Fifth,TRUE,H. 261 5TH,261,FIFTH,,,,,,start with h,261,5,,,TH,,,,,,,,,,,,,
"187 Water, h. 83 Essex",TRUE,H. 83 ESSEX,83,ESSEX,,187 Water,187,Water,,start with h,83,ESSEX,,,,,,,,,,,,,,,,
"286 Grand, h. 303 Grand",TRUE,H. 303 GRAND,303,GRAND,,286 Grand,286,Grand,,start with h,303,GRAND,,,,,,,,,,,,,,,,
"252 Houston, h. 252 Houston",TRUE,H. 252 HOUSTON,252,HOUSTON,,252 Houston,252,Houston,,start with h,252,HOUSTON,,,,,,,,,,,,,,,,
h. 209 Houston,TRUE,H. 209 HOUSTON,209,HOUSTON,,,,,,start with h,209,HOUSTON,,,,,,,,,,,,,,,,
"129 Walker, h. 129 Walker",TRUE,H. 129 WALKER,129,WALKER,,129 Walker,129,Walker,,start with h,129,WALKER,,,,,,,,,,,,,,,,
"9 Clinton, h. 9 Cllnton",TRUE,H. 9 CLLNTON,9,CLLNTON,,9 Clinton,9,Clinton,,start with h,,9,,,CLLNTON,,,,,,,,,,,,,
"372 Water, h. 153 Cherry",TRUE,H. 153 CHERRY,153,CHERRY,,372 Water,372,Water,,start with h,153,CHERRY,,,,,,,,,,,,,,,,
"47 Orange, h. 47 Orange",TRUE,H. 47 ORANGE,47,ORANGE,,47 Orange,47,Orange,,start with h,47,ORANGE,,,,,,,,,,,,,,,,
h. 67 Varick,TRUE,H. 67 VARICK,67,VARICK,,,,,,start with h,67,VARICK,,,,,,,,,,,,,,,,
"147 Greenwich, h. 147 G.wich",TRUE,H. 147 G.WICH,147,G.WICH,,147 Greenwich,147,Greenwich,,start with h,,147,,,G.WICH,,,,,,,,,,,,,
"100 Cherry, h. 100 Cherry",TRUE,H. 100 CHERRY,100,CHERRY,,100 Cherry,100,Cherry,,start with h,100,CHERRY,,,,,,,,,,,,,,,,
"104 Cedar, h. 104 Cedar",TRUE,H. 104 CEDAR,104,CEDAR,,104 Cedar,104,Cedar,,start with h,104,CEDAR,,,,,,,,,,,,,,,,
"13 William, h. 70 Ludlow",TRUE,H. 70 LUDLOW,70,LUDLOW,,13 William,13,William,,start with h,70,LUDLOW,,,,,,,,,,,,,,,,
"75 Maiden lane, h. 3 Hester",TRUE,H. 3 HESTER,3,HESTER,,75 Maiden lane,75,Maiden lane,,start with h,3,HESTER,,,,,,,,,,,,,,,,
h. E. 17th b. Av. 5 and Broadway,TRUE,H. E. 17TH B. AV. 5 AND BROADWAY,,,E. 17TH B. AV. 5 AND BROADWAY,,,,,start with h,,BROADWAY,,,E 17TB. AV 5 AND,,,,,,,,,,,,,
"h. 96 Willoughby , Brooklyn",TRUE,"H. 96 WILLOUGHBY , BROOKLYN",96,"WILLOUGHBY ,",BROOKLYN,,,,,start with h,96,WILLOUGHBY,BROOKLYN,,",",,,,,,,,,,,,,
"97 Nassau, h. 12 Dominick",TRUE,H. 12 DOMINICK,12,DOMINICK,,97 Nassau,97,Nassau,,start with h,12,DOMINICK,,,,,,,,,,,,,,,,
"49 Hamersley, h. 42 Hamersley-",TRUE,H. 42 HAMERSLEY,42,HAMERSLEY-,,49 Hamersley,49,Hamersley,,start with h,,42,,,HAMERSLEY,,,,,,,,,,,,,
"173 West , and alderman 17th Ward, h. 52 First",TRUE,H. 52 1ST,52,FIRST,,"173 West , and alderman 17th Ward",173,"West , and alderman 17th Ward",,start with h,52,1,,,ST,,,,,,,,,,,,,
"36 Av. 4, h. 36 Av. 4",TRUE,H. 36 AV. 4,36,AV. 4,,36 Av. 4,36,Av. 4,,start with h,36,4,,,AV,,,,,,,,,,,,,
"97 John, h. 38 Irving pl.",TRUE,H. 38 IRVING PL.,38,IRVING PL.,,97 John,97,John,,start with h,38,IRVING PL,,,.,,,,,,,,,,,,,
"93 Murray, h. 340 Washington",TRUE,H. 340 WASHINGTON,340,WASHINGTON,,93 Murray,93,Murray,,start with h,340,WASHINGTON,,,,,,,,,,,,,,,,
"1 Stone, h. 79 Amity",TRUE,H. 79 AMITY,79,AMITY,,1 Stone,1,Stone,,start with h,79,AMITY,,,,,,,,,,,,,,,,
"21 New, h. 527 Broadway",TRUE,H. 527 BROADWAY,527,BROADWAY,,21 New,21,New,,start with h,527,BROADWAY,,,,,,,,,,,,,,,,
h. 121 W. 22d,TRUE,H. 121 W. 22D,121,W. 22D,,,,,,start with h,121,W 22,,,D,,,,,,,,,,,,,
"368 Pearl, h. 368 Pearl",TRUE,H. 368 PEARL,368,PEARL,,368 Pearl,368,Pearl,,start with h,368,PEARL,,,,,,,,,,,,,,,,
"12S Pearl and 89 Water, h. 791 Broadway",TRUE,H. 791 BROADWAY,791,BROADWAY,,12S Pearl and 89 Water,,,12S Pearl and 89 Water,start with h,791,BROADWAY,,,,,,,,,,,,,,,,
h. 34 Renwick,TRUE,H. 34 RENWICK,34,RENWICK,,,,,,start with h,34,RENWICK,,,,,,,,,,,,,,,,
"237 Grand, h. 32 Stanton",TRUE,H. 32 STANTON,32,STANTON,,237 Grand,237,Grand,,start with h,32,STANTON,,,,,,,,,,,,,,,,
"5 Broad, h. 11 E. 17th",TRUE,H. 11 E. 17TH,11,E. 17TH,,5 Broad,5,Broad,,start with h,11,E 17,,,TH,,,,,,,,,,,,,
"1 Nassau, h. 12 Cottage row , Brooklyn",TRUE,"H. 12 COTTAGE ROW , BROOKLYN",12,"COTTAGE ROW ,",BROOKLYN,1 Nassau,1,Nassau,,start with h,,12,BROOKLYN,,"COTTAGE ROW ,",,,,,,,,,,,,,
"95 Leonard, h. 95 Leonard",TRUE,H. 95 LEONARD,95,LEONARD,,95 Leonard,95,Leonard,,start with h,,95,LEON,,ARD,,,,,,,,,,,,,
"18 Clarke, h. 18 Clarke",TRUE,H. 18 CLARKE,18,CLARKE,,18 Clarke,18,Clarke,,start with h,18,CLARKE,,,,,,,,,,,,,,,,
"83 Cedar, h. 10 Varick pl.",TRUE,H. 10 VARICK PL.,10,VARICK PL.,,83 Cedar,83,Cedar,,start with h,10,VARICK,,,PL.,,,,,,,,,,,,,
"36 Gold, h. Williamsburg",TRUE,H. WILLIAMSBURG,,,,36 Gold,36,Gold,,start with h,,,WILLIAMSBURG,,,,,,,,,,,,,,,
h. 212 W. 22d,TRUE,H. 212 W. 22D,212,W. 22D,,,,,,start with h,212,W 22,,,D,,,,,,,,,,,,,
"176 Centre, h. 4 Tenth",TRUE,H. 4 10TH,4,TENTH,,176 Centre,176,Centre,,start with h,4,10,,,TH,,,,,,,,,,,,,
h. 23 Vandam,TRUE,H. 23 VANDAM,23,VANDAM,,,,,,start with h,23,VANDAM,,,,,,,,,,,,,,,,
"2 Wall, h. 229 Fifth",TRUE,H. 229 5TH,229,FIFTH,,2 Wall,2,Wall,,start with h,229,5,,,TH,,,,,,,,,,,,,
"7 Washington market, h. 377 Washington",TRUE,H. 377 WASHINGTON,377,WASHINGTON,,7 Washington market,7,Washington market,,start with h,377,WASHINGTON,,,,,,,,,,,,,,,,
"48 Pine, h. 23 Varick",TRUE,H. 23 VARICK,23,VARICK,,48 Pine,48,Pine,,start with h,23,VARICK,,,,,,,,,,,,,,,,
"53 Nassau, h. 4 Tenth",TRUE,H. 4 10TH,4,TENTH,,53 Nassau,53,Nassau,,start with h,4,10,,,TH,,,,,,,,,,,,,
"312 Broadway and 16 W Broadway, h. 469 Greenwich",TRUE,H. 469 GREENWICH,469,GREENWICH,,312 Broadway and 16 W Broadway,312,Broadway and 16 W Broadway,,start with h,469,GREENWICH,,,,,,,,,,,,,,,,
"60 Av. 6, h. 60 Av. 6",TRUE,H. 60 AV. 6,60,AV. 6,,60 Av. 6,60,Av. 6,,start with h,60,6,,,0 AV,,,,,,,,,,,,,
"283 B.way, h. Williamsburg",TRUE,H. WILLIAMSBURG,,,,283 B.way,283,B.way,,start with h,,,WILLIAMSBURG,,,,,,,,,,,,,,,
"79 Nassau, h. 243 Grand",TRUE,H. 243 GRAND,243,GRAND,,79 Nassau,79,Nassau,,start with h,243,GRAND,,,,,,,,,,,,,,,,
"38 Ferry, h. 604 Broadway",TRUE,H. 604 BROADWAY,604,BROADWAY,,38 Ferry,38,Ferry,,start with h,604,BROADWAY,,,,,,,,,,,,,,,,
"95 Fulton, h. 95 FultÃ¢ÂÂn",TRUE,H. 95 FULTÃÂÂN,95,FULTÃÂÂN,,95 Fulton,95,Fulton,,start with h,,95,,,FULTÃÂÂN,,,,,,,,,,,,,
"95 Fulton, h. 95 Fulton",TRUE,H. 95 FULTON,95,FULTON,,95 Fulton,95,Fulton,,start with h,95,FULTON,,,,,,,,,,,,,,,,
"56 Chatham, h. 26 Jay",TRUE,H. 26 JAY,26,JAY,,56 Chatham,56,Chatham,,start with h,26,JAY,,,,,,,,,,,,,,,,
290 Av. 10 h. 37 BlÃ¢ÂÂcker,Assume,290 AV. 10 H. 37 BLÃÂÂCKER,290,AV. 10 H. 37 BLÃÂÂCKER,,,,,,h in between,,37,,,BLÃÂÂCKER,,,,,290,10,,,,,,AV,
"193 W. 11th, h. 46 Perry",TRUE,H. 46 PERRY,46,PERRY,,193 W. 11th,193,W. 11th,,start with h,46,PERRY,,,,,,,,,,,,,,,,
"87 Bleecker, h. 87 Blckr",TRUE,H. 87 BLCKR,87,BLCKR,,87 Bleecker,87,Bleecker,,start with h,,87,,,BLCKR,,,,,,,,,,,,,
"25 John, h 530 Hudson",TRUE,H 530 HUDSON,530,HUDSON,,25 John,25,John,,start with h,530,HUDSON,,,H,,,,,,,,,,,,,
"34 Av. 10, h. 34 Av. 10",TRUE,H. 34 AV. 10,34,AV. 10,,34 Av. 10,34,Av. 10,,start with h,34,10,,,AV,,,,,,,,,,,,,
"448 & 432 Water, h. 448 Water",TRUE,H. 448 WATER,448,WATER,,448 & 432 Water,448,& 432 Water,,start with h,448,WATER,,,,,,,,,,,,,,,,
"368 Bowery and B.way n. W. 27th, h. Broadway n. W. 27th",TRUE,H. BROADWAY N. W. 27TH,,,BROADWAY N. W. 27TH,368 Bowery and B.way n. W. 27th,368,Bowery and B.way n. W. 27th,,start with h,,,,,N. TH,BROADWAY,W 27,near,,,,,,,,,,
h. 22 Twelfth,TRUE,H. 22 12TH,22,TWELFTH,,,,,,start with h,22,12,,,TH,,,,,,,,,,,,,
"287 Front, h. 287 Front",TRUE,H. 287 FRONT,287,FRONT,,287 Front,287,Front,,start with h,287,FRONT,,,,,,,,,,,,,,,,
"135 Rivington, h. 158 Suffolk",TRUE,H. 158 SUFFOLK,158,SUFFOLK,,135 Rivington,135,Rivington,,start with h,158,SUFFOLK,,,,,,,,,,,,,,,,
h. Staten Island,TRUE,H. STATEN ISLAND,,,STATEN ISLAND,,,,,start with h,,,STATEN ISLAND,,,,,,,,,,,,,,,
"66 Nassau, h. 116 Waverley pl",TRUE,H. 116 WAVERLEY PL,116,WAVERLEY PL,,66 Nassau,66,Nassau,,start with h,,116,,,WAVERLEY PL,,,,,,,,,,,,,
h. 137 Washington,TRUE,H. 137 WASHINGTON,137,WASHINGTON,,,,,,start with h,137,WASHINGTON,,,,,,,,,,,,,,,,
h. 267 Second,TRUE,H. 267 2ND,267,SECOND,,,,,,start with h,267,2,,,67 ND,,,,,,,,,,,,,
"86 Av. D, h. 86 Av. D",TRUE,H. 86 AV. D,86,AV. D,,86 Av. D,86,Av. D,,start with h,86,AV D,,,,,,,,,,,,,,,,
h. 115 Av. C,TRUE,H. 115 AV. C,115,AV. C,,,,,,start with h,115,AV C,,,,,,,,,,,,,,,,
"179 South, h. 16 Essex",TRUE,H. 16 ESSEX,16,ESSEX,,179 South,179,South,,start with h,16,ESSEX,,,,,,,,,,,,,,,,
h. 139 Lewis,TRUE,H. 139 LEWIS,139,LEWIS,,,,,,start with h,139,LEWIS,,,,,,,,,,,,,,,,
h. 75 Watts,TRUE,H. 75 WATTS,75,WATTS,,,,,,start with h,75,WATTS,,,,,,,,,,,,,,,,
"251 Canal, h. 23 Troy",TRUE,H. 23 TROY,23,TROY,,251 Canal,251,Canal,,start with h,,23,TROY,,,,,,,,,,,,,,,
"286 Sixth, h. 286 Sixth",TRUE,H. 286 6TH,286,SIXTH,,286 Sixth,286,Sixth,,start with h,286,6,,,28 TH,,,,,,,,,,,,,
"19 W. Washington market, h. 46 Harrison .",TRUE,H. 46 HARRISON .,46,HARRISON .,,19 W. Washington market,19,W. Washington market,,start with h,,46,HARRIS,,ON .,,,,,,,,,,,,,
"Greenwich c. Vesey, h. 197 Monroe",TRUE,H. 197 MONROE,197,MONROE,,Greenwich c. Vesey,,,Greenwich c. Vesey,start with h,197,MONROE,,,,,,,,,,,,,,,,
