"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"4411","HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4413","H H 2 DIVISION","2","DIVISION",NA,NA,NA,NA,NA,"2","DIVISION"
"4414","H H 27 WASHINGTON SQ","27","WASHINGTON SQ",NA,NA,NA,NA,NA,"27","WASHINGTON"
"4415","68 GREENE","68","GREENE",NA,NA,NA,NA,NA,NA,NA
"4416","5 PINE","5","PINE",NA,NA,NA,NA,NA,NA,NA
"4417","11 THEATRE ALY , LOVEJOYS","11","THEATRE ALY , LOVEJOYS",NA,NA,NA,NA,NA,NA,NA
"4418","H 390 BROOME","390","BROOME",NA,NA,NA,NA,NA,"390","BROOME"
"4419","ROC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4420",NA,NA,NA,NA,NA,"AVE. C.","TWELH",NA,NA,NA
"4421","E N 30 AVE H 3","30","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"4422","W N 29 AVE H 7","29","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"4423","H. BROOKLYN",NA,NA,NA,NA,NA,NA,"BROOKLYN",NA,NA
"4424","5 PINE","5","PINE",NA,NA,NA,NA,NA,NA,NA
"4425","E 17 AVE C H 1","17","AVE C H 1",NA,NA,NA,NA,NA,NA,"1"
"4426","W N 26 AVE H 8","26","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"4427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4428","243 DIVISION","243","DIVISION",NA,NA,NA,NA,NA,NA,NA
"4429","AND WHO SELL DRAS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4430","ON THE ROYAL BANK OF IRELAND  , AND ON MESSRS.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4431","E N 21 AVE H 1","21","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"4432","110 CHERRY","110","CHERRY",NA,NA,NA,NA,NA,NA,NA
"4433","357 AVE H 6","357","AVE H 6",NA,NA,NA,NA,NA,NA,"6"
"4434","139 MOTT","139","MOTT",NA,NA,NA,NA,NA,NA,NA
"4435","ROW",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4437","138 AVE H 3","138","AVE H 3",NA,NA,NA,NA,NA,NA,"3"
"4438","FOOT W OF 21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4439","W R N 39 AVE H 9",NA,NA,NA,NA,NA,NA,NA,NA,"9"
"4440","ROG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4441","W N 38 AVE H 9","38","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"4442","W N 33 AVE H 9","33","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"4443","E N 29 AVE H 1","29","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"4444","E N 33 AVE H 3","33","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"4445","E MARKETMAN N 33 AVE H 2",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"4446",NA,NA,NA,"AVE. C","3",NA,NA,NA,NA,NA
"4447","E N 24 AVE H 1","24","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"4448","H. WILLIAMSBURGH",NA,NA,NA,NA,NA,NA,"WILLIAMSBURG",NA,NA
"4449","ROG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4450","W R N 28 AVE H 10",NA,NA,NA,NA,NA,NA,NA,NA,"10"
"4451","CITY REV HALL REC H H 4 GWICH",NA,NA,NA,NA,NA,NA,NA,NA,"4"
"4452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4453","W N 29 AVE H 8","29","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"4454","W N 26 AVE H 9","26","AVE N H 9",NA,NA,NA,NA,NA,NA,"9"
"4455","W N 27 AVE H 8","27","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"4456",NA,NA,NA,NA,NA,"W R 35","BROADWAY",NA,NA,NA
"4457",NA,NA,NA,NA,NA,"W R 35","BROADWAY",NA,NA,NA
"4458",NA,NA,NA,NA,NA,"BROADWAY","W 27",NA,NA,NA
"4459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4460","E N 26 AVE H 3","26","AVE N H 3",NA,NA,NA,NA,NA,NA,"3"
"4461",NA,NA,NA,NA,NA,"AVE. A.","TWELH",NA,NA,NA
"4462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4465","ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4466","E 16A LLTH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4467","W 21 B AVS H 2 AND 3","21","B AVS H 2 AND 3",NA,NA,NA,NA,NA,"2","3"
"4468","W N 32 AVE H 10","32","AVE N H 10",NA,NA,NA,NA,NA,NA,"10"
"4469",NA,NA,NA,NA,NA,"13","GREENWICH AVE",NA,NA,NA
"4470","W N 27 AVE H 7","27","AVE N H 7",NA,NA,NA,NA,NA,NA,"7"
"4471",NA,NA,NA,NA,NA,"9","W 26",NA,NA,NA
"4472","W 21 AVE C H 6","21","AVE C H 6",NA,NA,NA,NA,NA,NA,"6"
"4473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4474",NA,NA,NA,"CHELSEA SCHOOL SQ","W 22",NA,NA,NA,NA,NA
"4475",NA,NA,NA,"AVE H 11","W 29",NA,NA,NA,NA,NA
"4476","E N 28 AVE H 1","28","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"4477","E N 28 AVE H 1","28","AVE N H 1",NA,NA,NA,NA,NA,NA,"1"
"4478","W N 25 AVE H 8","25","AVE N H 8",NA,NA,NA,NA,NA,NA,"8"
"4479",NA,NA,NA,"BROADWAY","E 14",NA,NA,NA,NA,NA
"4480","REV",NA,NA,NA,NA,NA,NA,NA,"216","W 22"
"4481","163 DIVISION","163","DIVISION",NA,NA,NA,NA,NA,NA,NA
"4482","197 DIVISION","197","DIVISION",NA,NA,NA,NA,NA,NA,NA
"4483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4486","381 GRANDAND 2 CEDAR","381","GRANDAND 2 CEDAR",NA,NA,NA,NA,NA,NA,NA
"4487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4488","E R N 39 AVE H 3",NA,NA,NA,NA,NA,NA,NA,NA,"3"
"4489","H 2816","281","6",NA,NA,NA,NA,NA,"281","6"
"4490","W N 31 AVE H 6","31","AVE N H 6",NA,NA,NA,NA,NA,NA,"6"
"4491","99 CANAL","99","CANAL",NA,NA,NA,NA,NA,NA,NA
"4492","REV",NA,NA,NA,NA,NA,NA,"LEON",NA,"62"
"4493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4494",NA,NA,NA,NA,NA,"W 30","BROADWAY",NA,NA,NA
"4495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4496","E 26 BET AVS H 2 AND 3","26","BET AVS H 2 AND 3",NA,NA,NA,NA,NA,"2","3"
"4497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
