"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"154",NA,NA,NA,"FRANKLIN FULTON",NA,NA,NA,NA,NA,NA
"155",NA,NA,NA,NA,NA,"HARTS ALY","GOLD",NA,NA,NA
"156",NA,NA,NA,NA,NA,"WYCKOFF","SMITH",NA,NA,NA
"157","FURNISHING UNDERTAKER AND SEXTON 1 DUTCH CH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,NA,NA,NA,"LIVINGSTON","NEVINS",NA,NA,NA
"159",NA,NA,NA,NA,NA,"NEVINS","SCHERMERHORN 309 FULTON",NA,NA,NA
"160",NA,NA,NA,NA,NA,"DEAN","POWERS",NA,NA,NA
"161",NA,NA,NA,NA,NA,"SPENCER","FLUSHING AVE",NA,NA,NA
"162",NA,NA,NA,NA,NA,"FURMAN","JORALEMON",NA,NA,NA
"163",NA,NA,NA,NA,NA,"S U N NAVY","MYRTLE AVE",NA,NA,NA
"164",NA,NA,NA,NA,NA,"BALTIC","SMITH",NA,NA,NA
"165",NA,NA,NA,NA,NA,"15","STH AVE GOWANUS",NA,NA,NA
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,NA,NA,NA,NA,"CUMBERLAND","MYRTLE",NA,NA,NA
"168",NA,NA,NA,NA,NA,"KENT","FLUSHING AVE",NA,NA,NA
"169","JUNC. FLATBUSH TURNPIKE AND ATLANTIC AVE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","KENT AVE NORTH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","BOARDING 1 ATLANTIC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,NA,NA,"MYRTLE AVE","STEUBEN",NA,NA,NA,NA,NA
"174",NA,NA,NA,"BRG","HIGH",NA,NA,NA,NA,NA
"175","FRANKLIN FULTON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","FLUSHING AVE OP SPENCER",NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,NA,NA,"GROCERY AND FEED STORE , MYRTLE AVE","GOLD",NA,NA,NA,NA,NA
"178",NA,NA,NA,NA,NA,"CUMBERLAND","PARK AVE",NA,NA,NA
"179",NA,NA,NA,"BALDWIN PHINEAS AND CO,GROCERS MYRTLE AVE","ADAMS",NA,NA,NA,NA,NA
"180",NA,NA,NA,"BALTIC","SMITH",NA,NA,NA,NA,NA
"181",NA,NA,NA,"PUTNAM","BEDFORD AVE",NA,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA,"SCHERMERHORN","NEVINS",NA,NA,NA
"183",NA,NA,NA,"STATIONERY MYRTLE AVE","GRAHAM",NA,NA,NA,NA,NA
"184",NA,NA,NA,"COLUMBIA","PACIFIC",NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA,"BEDFORD","DE KALB AVE",NA,NA,NA
"186","55 ATLANTIC","55","ATLANTIC",NA,NA,NA,NA,NA,NA,NA
"187",NA,NA,NA,NA,NA,"MONTAGUE P)ACE","CT",NA,NA,NA
"188",NA,NA,NA,NA,NA,"WYCKOFF","CT",NA,NA,NA
"189",NA,NA,NA,"F)ATBUSH TURNPIKE","NEVINS",NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,"WATER","BRG",NA,NA,NA
"191",NA,NA,NA,NA,NA,"CT","PACIFIC",NA,NA,NA
"192",NA,NA,NA,NA,NA,"27","3 AVE GOWANUS",NA,NA,NA
"193",NA,NA,NA,NA,NA,"FLUSHING","KENT AVE",NA,NA,NA
"194",NA,NA,NA,NA,NA,"FLUSHING","FRANKLIN AVE",NA,NA,NA
"195","FULTON AND CONCORD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,NA,NA,NA,"UNION","VAN BRUNT",NA,NA,NA
"197",NA,NA,NA,NA,NA,"RAYMOND","MYRTLE AVE",NA,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA,"RAYMOND","DE KALB AVE",NA,NA,NA
"200",NA,NA,NA,NA,NA,"RED HOOK PL","FNLTON AVE",NA,NA,NA
"201",NA,NA,NA,NA,NA,"PACIFIC","CT",NA,NA,NA
"202",NA,NA,NA,NA,NA,"CUMBERLAND","MYRTLE AVE",NA,NA,NA
"203",NA,NA,NA,NA,NA,"MYTTLE AVE","RAYMOND",NA,NA,NA
"204","BROOKLYN CITY HOSPITAL HUDSON AVE B LAYFAYETTE AND FULTON AVE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","CLOVE RD BEDFORD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","BOARDING 233 FULTON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,"SHERMERHOIN","POWER.S",NA,NA,NA
"209","3 AVE GOWANUS","3","AVE GOWANUS",NA,NA,NA,NA,NA,NA,NA
"210",NA,NA,NA,"BRG","TILLARY",NA,NA,NA,NA,NA
"211","SCHERMERHORN B HOYT AND SMITH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,NA,NA,NA,"SPENCER","WILLOUGHBY",NA,NA,NA
"213",NA,NA,NA,NA,NA,"OF DEEDS CLASSON","FIUSHING AVE",NA,NA,NA
"214",NA,NA,NA,NA,NA,"FRANKLIN","MYRTLE AVE",NA,NA,NA
"215",NA,NA,NA,"NAVY","DELIALB AVE",NA,NA,NA,NA,NA
"216","CT B ATLANTIC AND PACIFIC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,"WARREN","SMITH",NA,NA,NA
"218",NA,NA,NA,NA,NA,"PACIFIC","POWERS",NA,NA,NA
"219",NA,NA,NA,NA,NA,"NAVY","PARK AVE",NA,NA,NA
"220",NA,NA,NA,NA,NA,"DE KALB AVE","BOLIVAR",NA,NA,NA
"221",NA,NA,NA,NA,NA,"MYRTLE AVE","CUMBERLAND",NA,NA,NA
"222",NA,NA,NA,"COLUMBIA","AMITY",NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,"NAVY","MYRTLE AVE",NA,NA,NA
"224",NA,NA,NA,NA,NA,"BOERUM","DEAN",NA,NA,NA
"225",NA,NA,NA,NA,NA,"DEAN","BOERUM",NA,NA,NA
"226",NA,NA,NA,NA,NA,"CT","DEGRAW",NA,NA,NA
"227",NA,NA,NA,NA,NA,"VANDERBILT AVE","DEAN",NA,NA,NA
"228","3 AVB 15 AND 16 STGORVANUS","3","AVB 15 AND 16 STGORVANUS",NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,NA,"19","3 AVE GOWANUS",NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA,"PACIFIC","SMITH",NA,NA,NA
"232",NA,NA,NA,NA,NA,"FRANKLIN","PARK AVE",NA,NA,NA
"233",NA,NA,NA,"LUSHING",", KENT AVE",NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","WASHINGTON AVE FULTON AVE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,NA,"FULTON","MYRTLE AVE",NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,"OXFORD","JAMAICA RD",NA,NA,NA
"238","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,NA,"COLUMBIA","PINEAPPLE JOHN",NA,NA,NA,NA,NA
"240","CROW HL BEDFORD HUDSON PROPRIETOR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","S U N 58 ADELPHI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA,"NYH PACIFIC","SMITH",NA,NA,NA
"243",NA,NA,NA,NA,NA,"CEDAR AND PEARL NYH SHERINERHORN","BOND",NA,NA,NA
"244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","COLUMBIAB STATE AND JORALEMON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","NYH CT.N SACKETT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA,"CLINTON","FULTON AVE",NA,NA,NA
"248","PERUVIAN GUANO 164 FURMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA,"JORALEMON","HENRY",NA,NA,NA
"250","CLOVE RD BEDFORD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","N Y SUN 73 COLUMBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,NA,"JOHNSON","FULTON",NA,NA,NA,NA,NA
"253",NA,NA,NA,"3 AVE","24 GOWANUS",NA,NA,NA,NA,NA
"254",NA,NA,NA,NA,NA,"DEAN","SMITH",NA,NA,NA
"255",NA,NA,NA,NA,NA,"FLUSHING AVE","NAVY YARD",NA,NA,NA
"256",NA,NA,NA,"MYRTLE","NOSTRAND AVE",NA,NA,NA,NA,NA
"257",NA,NA,NA,"17G YORK","GREEN LN",NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA,"22","3 AVE GOWANUS",NA,NA,NA
"259",NA,NA,NA,NA,NA,"PACIFIC","OXFORD",NA,NA,NA
"260",NA,NA,NA,NA,NA,"HUDSON AVE","LAFAYETTE",NA,NA,NA
"261",NA,NA,NA,NA,NA,"BUTLER","SMITH",NA,NA,NA
"262","316 FULTON OP ADAMS","316","FULTON OP ADAMS",NA,NA,NA,NA,NA,NA,NA
"263",NA,NA,NA,"JAY","FRONT",NA,NA,NA,NA,NA
"264","105 HIGH","105","HIGH",NA,NA,NA,NA,NA,NA,NA
"265",NA,NA,NA,NA,NA,"SANDS","NAVY",NA,NA,NA
"266",NA,NA,NA,NA,NA,"FRONT","JAY",NA,NA,NA
"267",NA,NA,NA,"FRONT","JAY",NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA,"21","4 AVE GOWANUS",NA,NA,NA
"269",NA,NA,NA,NA,NA,"MERCHT TAILOR 203 BROADWAY NYH CLINTON","HARRISON",NA,NA,NA
"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,NA,NA,"HENRY","WARREN",NA,NA,NA,NA,NA
"272","H 69 CRANBERRY","69","CRANBERRY",NA,NA,NA,NA,NA,"69","CRANBERRY"
"273",NA,NA,NA,NA,NA,"CLASSON","FLUSHING AVE",NA,NA,NA
"274",NA,NA,NA,NA,NA,"CLASSON","MYRTLE AVE",NA,NA,NA
"275",NA,NA,NA,NA,NA,"MYRTLE","CLASSON AVE",NA,NA,NA
"276",NA,NA,NA,"BRG","SANDS",NA,NA,NA,NA,NA
"277",NA,NA,NA,NA,NA,"LIVINGSTON","HOYT",NA,NA,NA
"278","CARRIAGE SMITH 255 HUDSON AVE","255","HUDSON AVE",NA,NA,NA,NA,NA,NA,NA
"279","MANR217 ADAMS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",NA,NA,NA,"HUDSON","DE KALB AVE",NA,NA,NA,NA,NA
"281",NA,NA,NA,NA,NA,"DEAN","POWERS",NA,NA,NA
"282",NA,NA,NA,NA,NA,"FLUSHING AVE","FRANKLIN AVE",NA,NA,NA
"283",NA,NA,NA,"FLUSHING AVE","GRAHAM",NA,NA,NA,NA,NA
"284","KENTN FLUSHING AVE",NA,NA,NA,NA,NA,NA,NA,NA,NA
