"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"178","H. J. C  ,",NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA,"AVE A","E 58",NA,NA,NA
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",NA,NA,NA,"167","R. R. AVE.",NA,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",NA,NA,NA,"E 80","3 AVE.",NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","H. PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",NA,NA,NA,NA,NA,"W 106","9 AVE.",NA,NA,NA
"187",NA,NA,NA,"W 141",". NICHOLAS AVE.",NA,NA,NA,NA,NA
"188","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"189","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"190",NA,NA,NA,NA,NA,"152","3 AVE.",NA,NA,NA
"191","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"192","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","H BREVOORT H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"196",NA,NA,NA,NA,NA,NA,"WILLIS AVE.",NA,NA,NA
"197","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA,"R AVE R","170",NA,NA,NA
"200",NA,NA,NA,NA,NA,"139","BROOK AVE.",NA,NA,NA
"201",NA,NA,NA,NA,NA,"4 AVE","E 98",NA,NA,NA
"202",NA,NA,NA,NA,NA,"W 101","9 AVE.",NA,NA,NA
"203",NA,NA,NA,NA,NA,"BERGEN AVE.","WEST",NA,NA,NA
"204",NA,NA,NA,NA,NA,"154","COURTLAND",NA,NA,NA
"205",NA,NA,NA,NA,NA,"170","FULTON AVE.",NA,NA,NA
"206","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"207",NA,NA,NA,NA,NA,"LINTON AVE","149",NA,NA,NA
"208","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"209","H. LA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA,"3 AVE","158",NA,NA,NA
"211",NA,NA,NA,"HORNE","MAIN",NA,NA,NA,NA,NA
"212","104 JOHN AND 104 WAR REN,H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"213","H.  . STEPHEN",NA,NA,NA,NA,NA,NA,NA,NA,NA
