,hn_1,best_match
1535,,UNION COFFEE AND SPICE MILLS JAY & nan
1536,,
1537,,WATCR
1538,,UNION FOUNDRY AND MACHINE SHOP WATER & FULTON
1539,,BIRNEY CHARLES FI AND SEC AND EAST RIVER INS CO W 61 ALL
1540,,
1541,,
1542,,
1543,,
1544,,
1545,,
1546,,
1547,,
1548,179.0,BROADWAY
1549,,
1550,,
1551,,
1552,,
1553,,
1554,,
1555,,
1556,,
1557,,
1558,,
1559,,
1560,,
1561,,
1562,4.0,CORTLANDT
1563,,
1564,,
1565,,
1566,,
1567,,
1568,,
1569,,
1570,,
1571,,
1572,60.0,CATHERINE
1573,,
1574,,
1575,,
1576,,
1577,,
1578,,
1579,,
1580,,
1581,,
1582,,
1583,,
1584,,
1585,,
1586,,
1587,,
1588,,
1589,,
1590,,
1591,,
1592,31.0,
1593,,
1594,,
1595,,
1596,,
1597,,
1598,,
1599,,
1600,,
1601,,
1602,,
1603,,
1604,,
1605,,
1606,,
1607,126.0,
1608,,
1609,,
1610,,
1611,,
1612,,
1613,,
1614,,
1615,,
1616,18.0,PLATT
1617,,
1618,,
1619,21.0,SOUTH
1620,,
1621,,
1622,,
1623,122.0,WATER
1624,,
1625,,
1626,,
1627,,
1628,,
1629,,
1630,,
1631,,
1632,,
1633,,
1634,,
1635,,
1636,,
1637,,
1638,,
1639,,
1640,,
1641,,
1642,,
1643,,
1644,,
1645,,
1646,,
1647,,
1648,,
1649,,
1650,,
1651,,
1652,,
1653,,
1654,,
1655,,
1656,,
1657,4.0,SOUTH
1658,,
1659,,
1660,,
1661,,
1662,,
1663,,
1664,,
1665,,
1666,,
1667,,
1668,,
1669,,
1670,,
1671,,
1672,,
1673,,
1674,,
1675,,20
1676,,
1677,,
1678,,
1679,,
1680,,
1681,,
1682,,
1683,,
1684,,
1685,,
1686,,CLARK
1687,,
1688,,
1689,,
1690,,
1691,,
1692,,
1693,,
1694,,
1695,,
1696,,
1697,,
1698,,
1699,,
1700,,
1701,,
1702,,
1703,,
1704,,
1705,,
1706,,
1707,,
1708,,
1709,,
1710,,
1711,,
1712,,
1713,,
1714,,
1715,,
1716,,
1717,,
1718,,
1719,,
1720,,
1721,,
1722,,
1723,,
1724,,
1725,,
1726,,
1727,,
1728,,
1729,,
1730,,
1731,,
1732,,
1733,,
1734,,
1735,,
1736,125.0,PEARL
1737,,
1738,,
1739,,
1740,,
1741,,
1742,72.0,WALL
1743,,
1744,,
1745,,
1746,,
1747,,
1748,,
1749,,
1750,,
1751,,
1752,,
1753,,
1754,,
1755,,
1756,,
1757,,
1758,,
1759,,
1760,,
1761,,CARLL & MYRTLE AVE DRANT FREDERICK
1762,,
1763,,
1764,,
1765,,
1766,,DEBEVOISE & FULTON
1767,,
1768,,
1769,,
1770,,
1771,,
1772,,
1773,,
1774,,
1775,25.0,BEAVER
1776,25.0,BEAVER
1777,,
1778,,
1779,,
1780,,
1781,,
1782,,
1783,,
1784,,
1785,,
1786,,
1787,,
1788,,
1789,,
1790,,
1791,,
1792,,
1793,,
1794,,
1795,28.0,SOUTH
1796,,
1797,103.0,MAIDEN LN
1798,,
1799,,
1800,,
1801,,
1802,,
1803,,
1804,,
1805,,
1806,,
1807,,
1808,83.0,PEARL
1809,,
1810,,
1811,,
1812,132.0,WATER
1813,,
1814,,
1815,,
1816,,
1817,,
1818,,
1819,,
1820,6.0,PINE
1821,117.0,PEARL
1822,100.0,BROADWAY
1823,131.0,
1824,,
1825,,
1826,,
1827,,
1828,,
1829,,
1830,,
1831,65.0,ANN
1832,,
1833,65.0,ANN
1834,,
1835,,
1836,,
1837,,
1838,,
1839,,
1840,,
1841,,
1842,,
1843,323.0,
1844,,
1845,,
1846,,
1847,,
1848,,
1849,,MERCHANT
1850,,
1851,,
1852,,
1853,,
1854,,
1855,,
1856,,
1857,,COLUMBIA AND
1858,,
1859,,
1860,,
1861,,
1862,,
1863,,
1864,,
1865,,
1866,,
1867,,
1868,,
1869,,
1870,,
1871,,
1872,,
1873,,
1874,,
1875,,
1876,,
1877,,
1878,,
1879,,
1880,,
1881,,
1882,,
1883,,
1884,,
1885,10.0,BEAVER
1886,,
1887,,
1888,,
1889,,
1890,,
1891,,
1892,,
1893,,
1894,,
1895,,
1896,,
1897,,
1898,,
1899,,
1900,,
1901,,
1902,,
1903,,
1904,,
1905,,
1906,,
1907,,
1908,,
1909,,
1910,,HUDSON AVE
1911,,
1912,45.0,JOHN
1913,127.0,127 FULTON & nan
1914,,
1915,,
1916,,
1917,,
1918,,E R INS CO 69 WALL
1919,,
1920,,
1921,,
1922,,YARD 19 & 3D
1923,,
1924,,
1925,,
1926,,
1927,,
1928,45.0,SOUTH
1929,,
1930,,
1931,,
1932,,
1933,,
1934,88.0,
1935,,FRONT & nan
1936,,
1937,,
1938,,
1939,,WATCHMAN FULTON MARKET
1940,,1S4
1941,,
1942,,
1943,,
1944,,
1945,,
1946,219.0,219 ATLANTIC & nan
1947,,
1948,,
1949,,
1950,,
1951,,
1952,,
1953,,
1954,,
1955,,
1956,,
1957,,
1958,,
1959,2.0,FERRY
1960,,
1961,,
1962,,
1963,,
1964,,
1965,102.0,BROAD
1966,10.0,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,
1998,,
1999,,
2000,,MER
2001,10.0,
2002,,
2003,,
2004,,
2005,,
2006,,
2007,,
2008,,
2009,186.0,CEDAR
2010,,
2011,,
2012,,
2013,,
2014,,
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,LITTLE & MARSHALL 3ROWN ROBERT
2021,,GRAHAM & MYRTLE
2022,,
2023,,
2024,,
2025,,
2026,,S SEAMEN FRIENDS SOCIETY 82 WALL
2027,,
2028,,
2029,,WATER
2030,,
2031,,
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
2039,,
2040,132.0,
2041,,
2042,,
2043,,
2044,,
2045,,
2046,,
2047,,
2048,,
2049,,
2050,,
2051,,
2052,,
2053,,
2054,,
2055,,
2056,,
2057,,
2058,,
2059,,
2060,,
2061,,
2062,,
2063,31.0,LIBERTY
2064,,
2065,,
2066,,
2067,,
2068,,
2069,,
2070,4.0,STANTON
2071,,
2072,,
2073,,
2074,,
2075,,
2076,,
2077,,
2078,44.0,NASSAU
2079,,
2080,62.0,LIBERTY
2081,,
2082,,
2083,,
2084,99.0,PIERRE
2085,,
2086,,
2087,370.0,
2088,9.0,NASSAU
2089,,
2090,14.0,
2091,,FULTON MARKET
2092,,ATLANTIC
2093,,
2094,,
2095,,
2096,,
2097,,
2098,,
2099,,
2100,,
2101,,
2102,,
2103,,
2104,,
2105,,
2106,,
2107,,
2108,,
2109,,
2110,,
2111,,
2112,,
2113,83.0,
2114,,
2115,,
2116,29.0,SOUTH
2117,109.0,FRONT EUCKBEE SUSAN
2118,,
2119,,
2120,,RAYMOND
2121,,
2122,,
2123,,
2124,,
2125,,
2126,,
2127,,
2128,,
2129,,
2130,,
2131,,
2132,,
2133,,
2134,,
2135,,
2136,,
2137,,
2138,,
2139,,
2140,42.0,WEST
2141,,
2142,,AETNA HARTFORD AND PROTECTION INS CO 16
2143,110.0,JOHN
2144,48.0,FERRY
2145,68.0,CEDAR
2146,,
2147,,
2148,,
2149,,
2150,,
2151,,
2152,,
2153,,
2154,,
2155,38.0,FINE
2156,,
2157,,
2158,,
2159,,
2160,,
2161,,
2162,40.0,
2163,177.0,177 FULTON & nan
2164,,
2165,92.0,
2166,,
2167,,
2168,,WILLOW & nan
2169,,CHARLES FULTON & nan
2170,,
2171,,
2172,4.0,BROOKLYN
2173,,
2174,,
2175,,
2176,,
2177,,BANK OF
2178,97.0,PINE
2179,,
2180,,
2181,,MOROCCO MANUF R 3D AVE & 17 GOWANUS
2182,,
2183,,
2184,,
2185,,
2186,,
2187,,
2188,,NO AND 102 FRONT
2189,108.0,WALL
2190,,
2191,,
