"","hn_1","best_match","street_type","base_function","spell_ave_true","suffix_true","both_true"
"1030",159,"N 10","ST","159 N 10 ST","159 N 10 ST","159 N 10TH ST","159 N 10TH ST"
"1031",NA,"","ST",NA,NA,NA,NA
"1032",157,"ELTON","ST","157 ELTON ST","157 ELTON ST","157 ELTON ST","157 ELTON ST"
"1033",72,"N 9","ST","72 N 9 ST","72 N 9 ST","72 N 9TH ST","72 N 9TH ST"
"1034",NA,"DOBBS","ST","DOBBS ST","DOBBS ST","DOBBS ST","DOBBS ST"
"1035",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1036",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1037",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1038",NA,"CONCORD AVE & 165","AVE","CONCORD AVE & 165 AVE","CONCORD AVE & 165 AVE","CONCORD AVE & 165TH AVE","CONCORD AVE & 165TH AVE"
"1039",1,"REV","ST","1 REV ST","1 REV ST","1 REV ST","1 REV ST"
"1040",NA,"CONCORD AVE & 163","AVE","CONCORD AVE & 163 AVE","CONCORD AVE & 163 AVE","CONCORD AVE & 163RD AVE","CONCORD AVE & 163RD AVE"
"1041",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1042",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1043",105,"N 10","ST","105 N 10 ST","105 N 10 ST","105 N 10TH ST","105 N 10TH ST"
"1044",NA,"3 AVE & 151","AVE","3 AVE & 151 AVE","3 AVE & 151 AVE","3RD AVE & 151 AVE","3RD AVE & 151 AVE"
"1045",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1046",NA,"B KYN","ST","B KYN ST","B KYN ST","B KYN ST","B KYN ST"
"1047",145,"N 3","ST","145 N 3 ST","145 N 3 ST","145 N 3RD ST","145 N 3RD ST"
"1048",6,"LEX. AVE","AVE","6 LEX. AVE","SIX LEX. AVE","6 LEX. AVE","SIX LEX. AVE"
"1049",NA,"3 AVE & 149","AVE","3 AVE & 149 AVE","3 AVE & 149 AVE","3RD AVE & 149 AVE","3RD AVE & 149 AVE"
"1050",46,"H E IS 46","ST","46 H E IS 46 ST","46 H E IS 46 ST","46 H E IS 46TH ST","46 H E IS 46TH ST"
"1051",NA,"136 & WILLIS AVE.","AVE","136 & WILLIS AVE. AVE","136 & WILLIS AVE. AVE","136TH & WILLIS AVE. AVE","136TH & WILLIS AVE. AVE"
"1052",NA,"BROADWAY & W 130","AVE","BROADWAY & W 130 AVE","BROADWAY & W 130 AVE","BROADWAY & W 130TH AVE","BROADWAY & W 130TH AVE"
"1053",169,"UNION","ST","169 UNION ST","169 UNION ST","169 UNION ST","169 UNION ST"
"1054",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"1055",NA,"138 & WILLIS AVE.","AVE","138 & WILLIS AVE. AVE","138 & WILLIS AVE. AVE","138TH & WILLIS AVE. AVE","138TH & WILLIS AVE. AVE"
"1056",150,"MOTT","ST","150 MOTT ST","150 MOTT ST","150 MOTT ST","150 MOTT ST"
"1057",NA,"4 AVE. & nan","AVE","4 AVE. & NAN AVE","4 AVE. & NAN AVE","4TH AVE. & NAN AVE","4TH AVE. & NAN AVE"
"1058",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1059",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1060",62,"10","ST","62 10 ST","62 10 ST","62 10TH ST","62 10TH ST"
"1061",90,"AVE A","AVE","90 AVE A AVE","NINETY AVE A AVE","90 AVE A AVE","NINETY AVE A AVE"
"1062",NA,"159 & BROOK AVE.","AVE","159 & BROOK AVE. AVE","159 & BROOK AVE. AVE","159TH & BROOK AVE. AVE","159TH & BROOK AVE. AVE"
"1063",NA,"155 & R. R. AVE.","AVE","155 & R. R. AVE. AVE","155 & R. R. AVE. AVE","155TH & R. R. AVE. AVE","155TH & R. R. AVE. AVE"
"1064",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1065",NA,"4 AVE. & E","AVE","4 AVE. & E AVE","4 AVE. & E AVE","4TH AVE. & E AVE","4TH AVE. & E AVE"
"1066",NA,"DENMAN PL. & CONCORD","PL","DENMAN PL. & CONCORD PL","DENMAN PL. & CONCORD PL","DENMAN PL. & CONCORD PL","DENMAN PL. & CONCORD PL"
"1067",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1068",NA,"WEST INDIES","ST","WEST INDIES ST","WEST INDIES ST","WEST INDIES ST","WEST INDIES ST"
"1069",NA,"H. ITALY","ST","H. ITALY ST","H. ITALY ST","H. ITALY ST","H. ITALY ST"
"1070",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1071",NA,"FI.","ST","FI. ST","FI. ST","FI. ST","FI. ST"
"1072",NA,"E GHTH AVE & W 129","AVE","E GHTH AVE & W 129 AVE","E GHTH AVE & W 129 AVE","E GHTH AVE & W 129TH AVE","E GHTH AVE & W 129TH AVE"
"1073",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1074",NA,"L(I . MARKS PL.","PL","L(I . MARKS PL. PL","L(I . MARKS PL. PL","L(I . MARKS PL. PL","L(I . MARKS PL. PL"
"1075",118,"N 6","ST","118 N 6 ST","118 N 6 ST","118 N 6TH ST","118 N 6TH ST"
"1076",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"1077",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"1078",126,"152","ST","126 152 ST","126 152 ST","126 152ND ST","126 152ND ST"
"1079",70,"N 3","ST","70 N 3 ST","70 N 3 ST","70 N 3RD ST","70 N 3RD ST"
"1080",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1081",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1082",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"1083",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"1084",NA,"YOR.KERS","ST","YOR.KERS ST","YOR.KERS ST","YOR.KERS ST","YOR.KERS ST"
"1085",NA,"L L","ST","L L ST","L L ST","L L ST","L L ST"
"1086",NA,"144 & WILLIS AVE.","AVE","144 & WILLIS AVE. AVE","144 & WILLIS AVE. AVE","144TH & WILLIS AVE. AVE","144TH & WILLIS AVE. AVE"
"1087",NA,"165 & R.R.AVE.","AVE","165 & R.R.AVE. AVE","165 & R.R.AVE. AVE","165TH & R.R.AVE. AVE","165TH & R.R.AVE. AVE"
"1088",NA,"165 & R. R. AVE.","AVE","165 & R. R. AVE. AVE","165 & R. R. AVE. AVE","165TH & R. R. AVE. AVE","165TH & R. R. AVE. AVE"
"1089",NA,"165 & R. R. AVE.","AVE","165 & R. R. AVE. AVE","165 & R. R. AVE. AVE","165TH & R. R. AVE. AVE","165TH & R. R. AVE. AVE"
"1090",NA,"WILLIS AVE & 142","AVE","WILLIS AVE & 142 AVE","WILLIS AVE & 142 AVE","WILLIS AVE & 142ND AVE","WILLIS AVE & 142ND AVE"
"1091",NA,"3 AVE & 152","AVE","3 AVE & 152 AVE","3 AVE & 152 AVE","3RD AVE & 152 AVE","3RD AVE & 152 AVE"
"1092",NA,"S. L","ST","S. L ST","S. L ST","S. L ST","S. L ST"
"1093",NA,"SING SING","ST","SING SING ST","SING SING ST","SING SING ST","SING SING ST"
"1094",NA,"SING SING","ST","SING SING ST","SING SING ST","SING SING ST","SING SING ST"
"1095",NA,"III.","ST","III. ST","III. ST","III. ST","III. ST"
"1096",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1097",NA,"WILLIS AVE & 142","AVE","WILLIS AVE & 142 AVE","WILLIS AVE & 142 AVE","WILLIS AVE & 142ND AVE","WILLIS AVE & 142ND AVE"
"1098",NA,"3 AVE & 152","AVE","3 AVE & 152 AVE","3 AVE & 152 AVE","3RD AVE & 152 AVE","3RD AVE & 152 AVE"
"1099",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1100",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"1101",105,"N 11","ST","105 N 11 ST","105 N 11 ST","105 N 11TH ST","105 N 11TH ST"
"1102",NA,". DENIS","ST",". DENIS ST",". DENIS ST",". DENIS ST",". DENIS ST"
"1103",NA,"H BKLYN","ST","H BKLYN ST","H BKLYN ST","H BKLYN ST","H BKLYN ST"
"1104",NA,"3 AVE & 149","AVE","3 AVE & 149 AVE","3 AVE & 149 AVE","3RD AVE & 149 AVE","3RD AVE & 149 AVE"
"1105",NA,"RONDOUT","ST","RONDOUT ST","RONDOUT ST","RONDOUT ST","RONDOUT ST"
"1106",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1107",143,"N 4","ST","143 N 4 ST","143 N 4 ST","143 N 4TH ST","143 N 4TH ST"
"1108",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1109",NA,"CONCORD AVE & 163","AVE","CONCORD AVE & 163 AVE","CONCORD AVE & 163 AVE","CONCORD AVE & 163RD AVE","CONCORD AVE & 163RD AVE"
"1110",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"1111",NA,"CAL.","ST","CAL. ST","CAL. ST","CAL. ST","CAL. ST"
"1112",NA,"3 AVE & 168","AVE","3 AVE & 168 AVE","3 AVE & 168 AVE","3RD AVE & 168 AVE","3RD AVE & 168 AVE"
"1113",NA,"3 AVE & 144","AVE","3 AVE & 144 AVE","3 AVE & 144 AVE","3RD AVE & 144 AVE","3RD AVE & 144 AVE"
"1114",NA,"LEX AVE & E 109","AVE","LEX AVE & E 109 AVE","LEX AVE & E 109 AVE","LEX AVE & E 109TH AVE","LEX AVE & E 109TH AVE"
"1115",NA,"FRANKLIN AVE & 169","AVE","FRANKLIN AVE & 169 AVE","FRANKLIN AVE & 169 AVE","FRANKLIN AVE & 169TH AVE","FRANKLIN AVE & 169TH AVE"
"1116",NA,"ENG.","ST","ENG. ST","ENG. ST","ENG. ST","ENG. ST"
"1117",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1118",NA,"SING","ST","SING ST","SING ST","SING ST","SING ST"
"1119",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1120",NA,"W 143 & TWELH AVE.","AVE","W 143 & TWELH AVE. AVE","W 143 & TWELH AVE. AVE","W 143RD & TWELH AVE. AVE","W 143RD & TWELH AVE. AVE"
"1121",NA,"ID .","ST","ID . ST","ID . ST","ID . ST","ID . ST"
"1122",1,"L .","ST","1 L . ST","1 L . ST","1 L . ST","1 L . ST"
"1123",NA,"NICHOLAS AVE & W 157","AVE","NICHOLAS AVE & W 157 AVE","NICHOLAS AVE & W 157 AVE","NICHOLAS AVE & W 157TH AVE","NICHOLAS AVE & W 157TH AVE"
"1124",NA,"135 & WILLIS AVE.","AVE","135 & WILLIS AVE. AVE","135 & WILLIS AVE. AVE","135TH & WILLIS AVE. AVE","135TH & WILLIS AVE. AVE"
"1125",NA,"STURTEVANT","ST","STURTEVANT ST","STURTEVANT ST","STURTEVANT ST","STURTEVANT ST"
"1126",NA,"N. J","ST","N. J ST","N. J ST","N. J ST","N. J ST"
"1127",NA,"WESTCHESTER AVE. & BROOK AVE.","AVE","WESTCHESTER AVE. & BROOK AVE. AVE","WESTCHESTER AVE. & BROOK AVE. AVE","WESTCHESTER AVE. & BROOK AVE. AVE","WESTCHESTER AVE. & BROOK AVE. AVE"
"1128",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1129",NA,"REAR 122","ST","REAR 122 ST","REAR 122 ST","REAR 122ND ST","REAR 122ND ST"
"1130",NA,"70 BROADWAY AND TREAS H 112 PEARL,H. BKLYN","AVE","70 BROADWAY AND TREAS H 112 PEARL,H. BKLYN AVE","70 BROADWAY AND TREAS H 112 PEARL,H. BKLYN AVE","70TH BROADWAY AND TREAS H 112 PEARL,H. BKLYN AVE","70TH BROADWAY AND TREAS H 112 PEARL,H. BKLYN AVE"
"1131",143,"10","ST","143 10 ST","143 10 ST","143 10TH ST","143 10TH ST"
"1132",1,"L .","ST","1 L . ST","1 L . ST","1 L . ST","1 L . ST"
"1133",NA,"143 & BROOK AVE.","AVE","143 & BROOK AVE. AVE","143 & BROOK AVE. AVE","143RD & BROOK AVE. AVE","143RD & BROOK AVE. AVE"
"1134",NA,"IOWA","ST","IOWA ST","IOWA ST","IOWA ST","IOWA ST"
"1135",NA,"WN  ,","ST","WN  , ST","WN  , ST","WN  , ST","WN  , ST"
"1136",NA,"WILLIS AVE & 141","AVE","WILLIS AVE & 141 AVE","WILLIS AVE & 141 AVE","WILLIS AVE & 141ST AVE","WILLIS AVE & 141ST AVE"
"1137",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1138",NA,"144 & BROOK AVE.","AVE","144 & BROOK AVE. AVE","144 & BROOK AVE. AVE","144TH & BROOK AVE. AVE","144TH & BROOK AVE. AVE"
"1139",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"1140",108,"RIVERSIDE","ST","108 RIVERSIDE ST","108 RIVERSIDE ST","108 RIVERSIDE ST","108 RIVERSIDE ST"
"1141",NA,"H. PA","ST","H. PA ST","H. PA ST","H. PA ST","H. PA ST"
"1142",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1143",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1144",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1145",135,"N 3","ST","135 N 3 ST","135 N 3 ST","135 N 3RD ST","135 N 3RD ST"
"1146",NA,"E 97 & LEX. AVE.","AVE","E 97 & LEX. AVE. AVE","E 97 & LEX. AVE. AVE","E 97TH & LEX. AVE. AVE","E 97TH & LEX. AVE. AVE"
"1147",NA,"FIH AVE & W 137","AVE","FIH AVE & W 137 AVE","FIH AVE & W 137 AVE","FIH AVE & W 137TH AVE","FIH AVE & W 137TH AVE"
"1148",135,"N 3","ST","135 N 3 ST","135 N 3 ST","135 N 3RD ST","135 N 3RD ST"
"1149",NA,"MOTT AVE & 144","AVE","MOTT AVE & 144 AVE","MOTT AVE & 144 AVE","MOTT AVE & 144TH AVE","MOTT AVE & 144TH AVE"
"1150",NA,"R AVE R & 168","AVE","R AVE R & 168 AVE","R AVE R & 168 AVE","R AVE R & 168TH AVE","R AVE R & 168TH AVE"
"1151",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"1152",NA,"WILLIS AVE & 142","AVE","WILLIS AVE & 142 AVE","WILLIS AVE & 142 AVE","WILLIS AVE & 142ND AVE","WILLIS AVE & 142ND AVE"
"1153",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1154",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"1155",NA,"OVERTON","ST","OVERTON ST","OVERTON ST","OVERTON ST","OVERTON ST"
"1156",2,"7T3 ND AVE","AVE","2 7T3 ND AVE","TWO 7T3 ND AVE","2 7THT3 ND AVE","TWO 7THT3 ND AVE"
"1157",NA,"155 & MORRIR AVE ,","AVE","155 & MORRIR AVE , AVE","155 & MORRIR AVE , AVE","155TH & MORRIR AVE , AVE","155TH & MORRIR AVE , AVE"
"1158",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1159",3,"CI RD","ST","3 CI RD ST","3 CI RD ST","3 CI RD ST","3 CI RD ST"
"1160",NA,"SAND AVE","AVE","SAND AVE","SAND AVE","SAND AVE","SAND AVE"
"1161",18,"105","ST","18 105 ST","18 105 ST","18 105TH ST","18 105TH ST"
"1162",120,"N 9","ST","120 N 9 ST","120 N 9 ST","120 N 9TH ST","120 N 9TH ST"
"1163",2,"W 10","ST","2 W 10 ST","2 W 10 ST","2 W 10TH ST","2 W 10TH ST"
"1164",NA,"ANNS AVE & 149","AVE","ANNS AVE & 149 AVE","ANNS AVE & 149 AVE","ANNS AVE & 149TH AVE","ANNS AVE & 149TH AVE"
"1165",NA,"548 BROADWAY,H. BKLYN","AVE","548 BROADWAY,H. BKLYN AVE","548 BROADWAY,H. BKLYN AVE","548TH BROADWAY,H. BKLYN AVE","548TH BROADWAY,H. BKLYN AVE"
"1166",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1167",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1168",145,"ESSEX","ST","145 ESSEX ST","145 ESSEX ST","145 ESSEX ST","145 ESSEX ST"
"1169",NA,"W 161 & TWELH AVE.","AVE","W 161 & TWELH AVE. AVE","W 161 & TWELH AVE. AVE","W 161ST & TWELH AVE. AVE","W 161ST & TWELH AVE. AVE"
"1170",NA,"N. J","ST","N. J ST","N. J ST","N. J ST","N. J ST"
"1171",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1172",NA,"10 AVE & W 100","AVE","10 AVE & W 100 AVE","10 AVE & W 100 AVE","10TH AVE & W 100 AVE","10TH AVE & W 100 AVE"
"1173",NA,"CUSTOM H.","ST","CUSTOM H. ST","CUSTOM H. ST","CUSTOM H. ST","CUSTOM H. ST"
"1174",144,"N 3","ST","144 N 3 ST","144 N 3 ST","144 N 3RD ST","144 N 3RD ST"
"1175",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"1176",120,"3","ST","120 3 ST","120 3 ST","120 3RD ST","120 3RD ST"
"1177",NA,"146 & WILLIS AVE.","AVE","146 & WILLIS AVE. AVE","146 & WILLIS AVE. AVE","146TH & WILLIS AVE. AVE","146TH & WILLIS AVE. AVE"
"1178",NA,"AVE C150","AVE","AVE C150 AVE","AVE C150 AVE","AVE C150TH AVE","AVE C150TH AVE"
"1179",NA,"E 44 14,H. BKLYN","ST","E 44 14,H. BKLYN ST","E 44 14,H. BKLYN ST","E 44TH 14,H. BKLYN ST","E 44TH 14,H. BKLYN ST"
"1180",NA,"DEL.","ST","DEL. ST","DEL. ST","DEL. ST","DEL. ST"
"1181",NA,"MOTT AVE & 142","AVE","MOTT AVE & 142 AVE","MOTT AVE & 142 AVE","MOTT AVE & 142ND AVE","MOTT AVE & 142ND AVE"
"1182",NA,"180 BROADWAY AND 138 WOOSTER,H. BKLYN","AVE","180 BROADWAY AND 138 WOOSTER,H. BKLYN AVE","180 BROADWAY AND 138 WOOSTER,H. BKLYN AVE","180TH BROADWAY AND 138 WOOSTER,H. BKLYN AVE","180TH BROADWAY AND 138 WOOSTER,H. BKLYN AVE"
"1183",161,"MORRIS","ST","161 MORRIS ST","161 MORRIS ST","161 MORRIS ST","161 MORRIS ST"
"1184",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1185",NA,"UNION AVE & 165","AVE","UNION AVE & 165 AVE","UNION AVE & 165 AVE","UNION AVE & 165TH AVE","UNION AVE & 165TH AVE"
"1186",NA,"N. JT","ST","N. JT ST","N. JT ST","N. JT ST","N. JT ST"
"1187",NA,"TARRY","ST","TARRY ST","TARRY ST","TARRY ST","TARRY ST"
"1188",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1189",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1190",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1191",NA,"150 & . NICHOLAS","ST","150 & . NICHOLAS ST","150 & . NICHOLAS ST","150TH & . NICHOLAS ST","150TH & . NICHOLAS ST"
"1192",NA,"150 & . NICHOLAS","ST","150 & . NICHOLAS ST","150 & . NICHOLAS ST","150TH & . NICHOLAS ST","150TH & . NICHOLAS ST"
"1193",NA,"150 & . NICHOLAS AVE.","AVE","150 & . NICHOLAS AVE. AVE","150 & . NICHOLAS AVE. AVE","150TH & . NICHOLAS AVE. AVE","150TH & . NICHOLAS AVE. AVE"
"1194",NA,"150 & . NICHOLAS AVE.","AVE","150 & . NICHOLAS AVE. AVE","150 & . NICHOLAS AVE. AVE","150TH & . NICHOLAS AVE. AVE","150TH & . NICHOLAS AVE. AVE"
"1195",NA,"FRANKLIN AVE & 168","AVE","FRANKLIN AVE & 168 AVE","FRANKLIN AVE & 168 AVE","FRANKLIN AVE & 168TH AVE","FRANKLIN AVE & 168TH AVE"
"1196",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1197",NA,"FULTON AVE & 168","AVE","FULTON AVE & 168 AVE","FULTON AVE & 168 AVE","FULTON AVE & 168TH AVE","FULTON AVE & 168TH AVE"
"1198",33,"STANTON","ST","33 STANTON ST","33 STANTON ST","33 STANTON ST","33 STANTON ST"
"1199",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1200",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1201",NA,"H 143 & WILLIS AVE.","AVE","H 143 & WILLIS AVE. AVE","H 143 & WILLIS AVE. AVE","H 143RD & WILLIS AVE. AVE","H 143RD & WILLIS AVE. AVE"
"1202",143,"N 3","ST","143 N 3 ST","143 N 3 ST","143 N 3RD ST","143 N 3RD ST"
"1203",NA,"ILL.","ST","ILL. ST","ILL. ST","ILL. ST","ILL. ST"
"1204",NA,"E L","ST","E L ST","E L ST","E L ST","E L ST"
"1205",NA,"ALBA","ST","ALBA ST","ALBA ST","ALBA ST","ALBA ST"
"1206",167,"UNION","ST","167 UNION ST","167 UNION ST","167 UNION ST","167 UNION ST"
"1207",233,"E 75","ST","233 E 75 ST","233 E 75 ST","233 E 75TH ST","233 E 75TH ST"
"1208",NA,"RIVERSIDE AVE & W 127","AVE","RIVERSIDE AVE & W 127 AVE","RIVERSIDE AVE & W 127 AVE","RIVERSIDE AVE & W 127TH AVE","RIVERSIDE AVE & W 127TH AVE"
"1209",129,"RIVERSIDE","ST","129 RIVERSIDE ST","129 RIVERSIDE ST","129 RIVERSIDE ST","129 RIVERSIDE ST"
"1210",NA,"139 & WILLIS AVE.","AVE","139 & WILLIS AVE. AVE","139 & WILLIS AVE. AVE","139TH & WILLIS AVE. AVE","139TH & WILLIS AVE. AVE"
"1211",NA,"RIVERSIDE AVE & W 127","AVE","RIVERSIDE AVE & W 127 AVE","RIVERSIDE AVE & W 127 AVE","RIVERSIDE AVE & W 127TH AVE","RIVERSIDE AVE & W 127TH AVE"
"1212",NA,"H 139 & BROOK AVE.","AVE","H 139 & BROOK AVE. AVE","H 139 & BROOK AVE. AVE","H 139TH & BROOK AVE. AVE","H 139TH & BROOK AVE. AVE"
"1213",152,"MORRIS","ST","152 MORRIS ST","152 MORRIS ST","152 MORRIS ST","152 MORRIS ST"
"1214",NA,"301","ST","301 ST","301 ST","301ST ST","301ST ST"
"1215",357,"1","ST","357 1 ST","357 1 ST","357 1ST ST","357 1ST ST"
"1216",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"1217",195,"N 10","ST","195 N 10 ST","195 N 10 ST","195 N 10TH ST","195 N 10TH ST"
"1218",NA,"REFUSED","ST","REFUSED ST","REFUSED ST","REFUSED ST","REFUSED ST"
"1219",73,"11","ST","73 11 ST","73 11 ST","73 11TH ST","73 11TH ST"
"1220",NA,"FI.","ST","FI. ST","FI. ST","FI. ST","FI. ST"
"1221",NA,"1 AVE & E 120","AVE","1 AVE & E 120 AVE","1 AVE & E 120 AVE","1ST AVE & E 120 AVE","1ST AVE & E 120 AVE"
"1222",NA,"W 1 48,H. BKLYN","ST","W 1 48,H. BKLYN ST","W 1 48,H. BKLYN ST","W 1ST 48,H. BKLYN ST","W 1ST 48,H. BKLYN ST"
"1223",NA,"LAKE","ST","LAKE ST","LAKE ST","LAKE ST","LAKE ST"
"1224",NA,"E 105 & FIH AVE.","AVE","E 105 & FIH AVE. AVE","E 105 & FIH AVE. AVE","E 105TH & FIH AVE. AVE","E 105TH & FIH AVE. AVE"
"1225",NA,"PA.","ST","PA. ST","PA. ST","PA. ST","PA. ST"
"1226",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1227",104,"N 10","ST","104 N 10 ST","104 N 10 ST","104 N 10TH ST","104 N 10TH ST"
"1228",NA,"ENG.","ST","ENG. ST","ENG. ST","ENG. ST","ENG. ST"
"1229",NA,"10 AVE & W 70","AVE","10 AVE & W 70 AVE","10 AVE & W 70 AVE","10TH AVE & W 70 AVE","10TH AVE & W 70 AVE"
"1230",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1231",NA,"MASS.","ST","MASS. ST","MASS. ST","MASS. ST","MASS. ST"
"1232",NA,"CASTLE","ST","CASTLE ST","CASTLE ST","CASTLE ST","CASTLE ST"
"1233",153,"LUDLOW","ST","153 LUDLOW ST","153 LUDLOW ST","153 LUDLOW ST","153 LUDLOW ST"
"1234",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1235",NA,"134 & WILLIS AVE.","AVE","134 & WILLIS AVE. AVE","134 & WILLIS AVE. AVE","134TH & WILLIS AVE. AVE","134TH & WILLIS AVE. AVE"
"1236",91,"69TAV","ST","91 69TAV ST","91 69TAV ST","91 69THTAV ST","91 69THTAV ST"
"1237",NA,"CASTLE","ST","CASTLE ST","CASTLE ST","CASTLE ST","CASTLE ST"
"1238",58,"10","ST","58 10 ST","58 10 ST","58 10TH ST","58 10TH ST"
"1239",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1240",341,"E 119","ST","341 E 119 ST","341 E 119 ST","341 E 119TH ST","341 E 119TH ST"
"1241",NA,"H. BKLYN","ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST","H. BKLYN ST"
"1242",NA,"W 130 & nan","ST","W 130 & NAN ST","W 130 & NAN ST","W 130TH & NAN ST","W 130TH & NAN ST"
"1243",NA,"FRANKLIN AVE & 169","AVE","FRANKLIN AVE & 169 AVE","FRANKLIN AVE & 169 AVE","FRANKLIN AVE & 169TH AVE","FRANKLIN AVE & 169TH AVE"
