,hn_1,best_match
810,NA,
811,NA,
812,72,PINE
813,NA,
814,NA,
815,NA,
816,NA,NASSAU
817,NA,
818,NA,
819,NA,SCHERMERHORN
820,NA,COLUMBIA AND PACIFIC
821,NA,
822,NA,STON
823,NA,
824,NA,
825,NA,
826,NA,
827,NA,
828,NA,
829,NA,
830,59,BROADWAY
831,NA,
832,NA,
833,NA,
834,NA,
835,NA,
836,62,PINE
837,NA,
838,NA,
839,NA,
840,NA,
841,NA,ADAMS AND YORK
842,NA,
843,24,CEDAR
844,NA,WESTERN INSURANCE OFFICE
845,NA,
846,NA,
847,NA,
848,NA,
849,NA,
850,NA,
851,NA,
852,NA,
853,NA,
854,NA,
855,NA,
856,NA,
857,NA,
858,NA,
859,NA,
860,NA,ADAMS
861,NA,
862,NA,FULTON MARKET
863,NA,
864,NA,
865,NA,
866,159,PEARL
867,NA,
868,NA,
869,NA,
870,NA,
871,181,BROADWAY
872,NA,
873,NA,
874,NA,
875,NA,
876,NA,
877,NA,PRINCE
878,60,PINE
879,NA,MERCHT19 CORTLANDT
880,34,BEAVER
881,NA,
882,147,BROADWAY
883,NA,
884,NA,
885,NA,
886,NA,
887,NA,
888,145,BROAD
889,NA,
890,NA,
891,NA,
892,NA,
893,NA,
894,NA,
895,NA,
896,NA,
897,NA,
898,NA,
899,NA,
900,NA,
901,NA,
902,5,SOUTH
903,NA,
904,NA,
905,6,LINDEN ROW FULTON
906,NA,
907,NA,
908,225,ATLANTIC
909,NA,
910,NA,
911,111,BEEKMAN
912,NA,
913,NA,PACIFIE AND CT
914,NA,
915,145,NASSAU
916,NA,
917,NA,
918,NA,WILLOUGHBY AND PEAR
919,6,LINDEN ROW FULTON
920,159,MYRTLE
921,NA,
922,NA,CONCORD
923,NA,
924,NA,S ALY
925,NA,
926,NA,
927,NA,
928,NA,
929,NA,
930,NA,
931,NA,
932,NA,
933,NA,
934,NA,
935,165,MAIDEN LN Y
936,NA,
937,NA,
938,NA,
939,NA,
940,NA,
941,NA,
942,NA,
943,NA,
944,NA,
945,NA,
946,NA,
947,NA,PARK AND FRANKLIN ALY
948,42,WATER
949,NA,
950,38,SOUTH
951,NA,
952,NA,
953,NA,
954,38,SOUTH
955,NA,
956,NA,
957,NA,
958,NA,HOYT
959,105,WALL
960,NA,
961,NA,
962,NA,
963,NA,
964,NA,
965,NA,
966,NA,
967,NA,
968,NA,
969,NA,
970,NA,
971,NA,
972,NA,
973,57,WATER
974,NA,FULTON AND FURMAN
975,NA,
976,NA,
977,NA,
978,NA,
979,NA,
980,NA,
981,NA,
982,NA,
983,NA,
984,NA,S Y AND ALY
985,NA,ATLAUTIC
986,182,JAY
987,NA,WASHINGTON MARKET
988,NA,
989,NA,
990,NA,
991,NA,
992,NA,
993,NA,
994,50,SOUTH
995,NA,
996,NA,
997,NA,
998,NA,HENRY
999,NA,
1000,46,FRONT
1001,43,NEW
1002,NA,
1003,NA,
1004,NA,BH
1005,NA,
1006,NA,
1007,NA,
1008,NA,
1009,NA,
1010,NA,
1011,NA,HK
1012,NA,
1013,NA,
1014,NA,
1015,NA,
1016,NA,
1017,2,BUTLER
1018,NA,
1019,NA,
1020,NA,
1021,127,
1022,NA,
1023,NA,WASHINGTON
1024,231,
1025,NA,
1026,266,PEARL
1027,NA,
1028,NA,
1029,NA,
1030,NA,
1031,NA,
1032,NA,UNION
1033,NA,
1034,NA,
1035,NA,
1036,NA,
1037,NA,
1038,NA,
1039,NA,
1040,NA,
1041,157,FULTON
1042,NA,
