"","hn_1","best_match","street_type","base_function","suffix_true","both_true"
"2746",NA,"","ST",NA,NA,NA
"2747",76,"HENRY","ST","76 HENRY ST","76 HENRY ST","76 HENRY ST"
"2748",NA,"","ST",NA,NA,NA
"2749",NA,"","ST",NA,NA,NA
"2750",NA,"","ST",NA,NA,NA
"2751",NA,"","ST",NA,NA,NA
"2752",12,"JOHN","ST","12 JOHN ST","12 JOHN ST","12 JOHN ST"
"2753",NA,"","ST",NA,NA,NA
"2754",NA,"","ST",NA,NA,NA
"2755",NA,"","ST",NA,NA,NA
"2756",NA,"","ST",NA,NA,NA
"2757",NA,"","ST",NA,NA,NA
"2758",NA,"","ST",NA,NA,NA
"2759",NA,"","ST",NA,NA,NA
"2760",77,"FULTON","ST","77 FULTON ST","77 FULTON ST","77 FULTON ST"
"2761",NA,"","ST",NA,NA,NA
"2762",NA,"","ST",NA,NA,NA
"2763",38,"WALL","ST","38 WALL ST","38 WALL ST","38 WALL ST"
"2764",NA,"WYCKOFF","ST","WYCKOFF ST","WYCKOFF ST","WYCKOFF ST"
"2765",NA,"","ST",NA,NA,NA
"2766",NA,"","ST",NA,NA,NA
"2767",NA,"","ST",NA,NA,NA
"2768",NA,"WALL AND BROADWAY","AVE","WALL AND BROADWAY AVE","WALL AND BROADWAY AVE","WALL AND BROADWAY AVE"
"2769",NA,"","ST",NA,NA,NA
"2770",NA,"","ST",NA,NA,NA
"2771",164,"FULTON","ST","164 FULTON ST","164 FULTON ST","164 FULTON ST"
"2772",NA,"","ST",NA,NA,NA
"2773",NA,"","ST",NA,NA,NA
"2774",NA,"","ST",NA,NA,NA
"2775",NA,"","ST",NA,NA,NA
"2776",NA,"","ST",NA,NA,NA
"2777",NA,"","ST",NA,NA,NA
"2778",NA,"","ST",NA,NA,NA
"2779",NA,"","ST",NA,NA,NA
"2780",NA,"","ST",NA,NA,NA
"2781",203,"FULTON","ST","203 FULTON ST","203 FULTON ST","203 FULTON ST"
"2782",NA,"","ST",NA,NA,NA
"2783",NA,"","ST",NA,NA,NA
"2784",NA,"","ST",NA,NA,NA
"2785",NA,"","ST",NA,NA,NA
"2786",NA,"","ST",NA,NA,NA
"2787",NA,"","ST",NA,NA,NA
"2788",14,"LIVINGSTON","ST","14 LIVINGSTON ST","14 LIVINGSTON ST","14 LIVINGSTON ST"
"2789",NA,"","ST",NA,NA,NA
"2790",NA,"","ST",NA,NA,NA
"2791",NA,"","ST",NA,NA,NA
"2792",NA,"","ST",NA,NA,NA
"2793",139,"CT","ST","139 CT ST","139 CT ST","139 CT ST"
"2794",NA,"","ST",NA,NA,NA
"2795",NA,"","ST",NA,NA,NA
"2796",NA,"","ST",NA,NA,NA
"2797",NA,"","ST",NA,NA,NA
"2798",12,"PINE","ST","12 PINE ST","12 PINE ST","12 PINE ST"
"2799",NA,"","ST",NA,NA,NA
"2800",NA,"","ST",NA,NA,NA
"2801",NA,"","ST",NA,NA,NA
"2802",NA,"","ST",NA,NA,NA
"2803",NA,"","ST",NA,NA,NA
"2804",NA,"","ST",NA,NA,NA
"2805",43,"FULTON","ST","43 FULTON ST","43 FULTON ST","43 FULTON ST"
"2806",69,"NASSAU","ST","69 NASSAU ST","69 NASSAU ST","69 NASSAU ST"
"2807",NA,"","ST",NA,NA,NA
"2808",NA,"","ST",NA,NA,NA
"2809",NA,"","ST",NA,NA,NA
"2810",NA,"","ST",NA,NA,NA
"2811",NA,"","ST",NA,NA,NA
"2812",NA,"","ST",NA,NA,NA
"2813",NA,"BROADWAY AND RECTOR","AVE","BROADWAY AND RECTOR AVE","BROADWAY AND RECTOR AVE","BROADWAY AND RECTOR AVE"
"2814",NA,"","ST",NA,NA,NA
"2815",NA,"","ST",NA,NA,NA
"2816",NA,"","ST",NA,NA,NA
"2817",NA,"","ST",NA,NA,NA
"2818",NA,"","ST",NA,NA,NA
"2819",NA,"","ST",NA,NA,NA
"2820",NA,"","ST",NA,NA,NA
"2821",NA,"","ST",NA,NA,NA
"2822",NA,"BRG","ST","BRG ST","BRG ST","BRG ST"
"2823",NA,"","ST",NA,NA,NA
"2824",NA,"","ST",NA,NA,NA
"2825",NA,"MER 1S9 PEARL","ST","MER 1S9 PEARL ST","MER 1STS9 PEARL ST","MER 1STS9 PEARL ST"
"2826",NA,"","ST",NA,NA,NA
"2827",136,"PEARL","ST","136 PEARL ST","136 PEARL ST","136 PEARL ST"
"2828",NA,"FULTON AND MYRTLE AVE","AVE","FULTON AND MYRTLE AVE","FULTON AND MYRTLE AVE","FULTON AND MYRTLE AVE"
"2829",NA,"","ST",NA,NA,NA
"2830",NA,"","ST",NA,NA,NA
"2831",NA,"","ST",NA,NA,NA
"2832",1,"PLATT","ST","1 PLATT ST","1 PLATT ST","1 PLATT ST"
"2833",82,"MAIDEN LN","LN","82 MAIDEN LN","82 MAIDEN LN","82 MAIDEN LN"
"2834",NA,"","ST",NA,NA,NA
"2835",NA,"","ST",NA,NA,NA
"2836",NA,"","ST",NA,NA,NA
"2837",NA,"","ST",NA,NA,NA
"2838",NA,"","ST",NA,NA,NA
"2839",68,"CEDAR","ST","68 CEDAR ST","68 CEDAR ST","68 CEDAR ST"
"2840",NA,"","ST",NA,NA,NA
"2841",NA,"","ST",NA,NA,NA
"2842",NA,"","ST",NA,NA,NA
"2843",NA,"","ST",NA,NA,NA
"2844",NA,"L I BANK","ST","L I BANK ST","L I BANK ST","L I BANK ST"
"2845",NA,"","ST",NA,NA,NA
"2846",NA,"","ST",NA,NA,NA
"2847",NA,"","ST",NA,NA,NA
