,hn_1,best_match1
483,103,NASSAU
484,26034,DIVISION
485,262,STANTON
486,4744,FRANKFORT
487,246,W 24
488,150,W 20
489,287,W 17
490,697,WASHINGTON
491,161,HAMMOND
492,172,AMOS
493,205,SULLIVAN
494,29,JONES
495,17,BROOME
496,279,AVE 3
497,162,W BROADWAY
498,161,HAMMOND
499,714,WASHINGTON
500,17,BROOME
501,160,GRAND
502,143,DUFFIELD
503,607,WATER
504,143,DUFFIELD
505,140,FRANKLIN
506,275,MULBERR
507,230,CANAL
508,132,SANDS BRKLYN
509,93,POWERS
510,224,WOOSTER
511,NA,W 18 AND ALY 6
512,249,W 13
513,48,LUDLOW
514,NA,W 28 AND AVE 10
515,230,W 24 HERRY
516,190,C
517,124,AVE 7
518,734,TRINITY PL
519,97,READE
520,61,1
521,19,ANN
522,NA,BROOKLYN
523,266,MADISON
524,NA,BOSTON
525,43,FORSYTH
526,NA,W 35 AND BROADWAY
527,148,HAMMOND
528,147,W 28
529,34,BANK
530,646,WATER
531,306,W 24
532,91,CANNON
533,176,HUDSON
534,176,HUDSON
535,47,WHITE
536,19,STANTON
537,NA,E 25 AND LEXINGTON AVE
538,70044,GREENWICH
539,13,WALL
540,9,SHERIFF
541,16,ROOSEVELT
542,91,CANNON
543,NA,W 28 AND AVE 8
544,309,PEARL
545,41,WALL
546,75,MOTT
547,NA,DEGRAW PL BROOKLYN
548,NA,BROOKLYN
549,241,CANAL
550,117,MADISON
551,NA,W 40 AND AVE 7
552,159,W 15
553,64,12
554,164,W 18
555,47,AMITY
556,412,GREENWICH
557,122,WARREN
558,687,GREENWICH
559,36,SCAMMEL
560,38,VARICK
561,124,BROAD
562,36,HUBERT
563,27,HORATIO
564,NA,S BARNUM
565,47,AMITY
566,87,MADISON
567,180,AVE C
568,75,E 15
569,111,SUFFOLK
570,215,WALKER
571,165,MAIDEN LN
572,252,W 16
573,NA,W MSBURG
574,687,GREENWICH
575,343,AVE 4
576,59,WARREN
577,2,W BROADWAY PL
578,296,GREENWICH
579,NA,W 40 AVE 7
580,55,LEONARD
581,27,HORATIO
582,97,READE
583,NA,W 29 AVE 9
584,145,S WASHINGTON DUNNING
585,307,BLEECKER
586,114,HUDSON
587,225,AVE 8
588,6,JORALEMON
589,51,E 16
590,121,82D WILLIAMSBURGH
591,51,E 16
592,216,ALY 6
593,298,BROADWAY
594,241,BLEECKER
595,316,GOLD BRKLYN
596,71,WALL
597,385,AVE 6
598,104,BOWERY
599,126,FRANKLIN
600,198,CHATHAM SQ
601,51,SOUTH
602,199,HOUSTON
603,178,AVE 3
604,601,HOUSTON
605,186,CHURCH
606,28,PERRY
607,193,AVE 8
608,3,ANTHONY
609,422,CHERRY
610,348,BWRY
611,244,FULTON
612,124,NASSAU
613,260,SOUTH
614,87,WALL
615,145,WASHINGTON
616,16,WALL
617,75,FRONT
618,51,SOUTH
619,74,FRONT
620,18,SOUTH
621,148,FRONT
622,399,4
623,94,ELDRIDGE
624,6,BOWERY
625,311,BROADWAY
626,188,W 25
627,57,AVE 6
628,7,W 2
629,52,AVE 3
630,266,2
631,650,HUDSON
632,275,BROADWAY
633,158,HENRY
634,NA,BROOKLYN
635,NA,W 30 AND AVE 6
636,389,BROADWAY
637,299,BROOME
638,33,LEXINGTON AVE
639,150,W 16
640,61,SUFFOLK
641,77,PITT
642,NA,E 28 AND AVE 3
643,159,E 14
644,85,12
645,191,CLINTON
646,416,AVE 3
647,248,HOUSTON
648,303,HOUSTON
649,84,ELDRIDGE
650,76,STANTON
651,105,MOTT
652,94,WARREN
653,33,HENRY
654,159,PEARL
655,109,MERCER
656,10,ALY
657,73,DUANE
658,40,E 28
659,105,HENRY
660,270,DIVISION
661,216,STANTON
662,4,WOOSTER
663,282,BOWRY
664,34,ALLEN
665,95,CANAL
666,159,2
667,252,DELANCEY
668,69,LUDLOW
669,8,CLARKSON
670,50,BOWERY
671,423,PEARL
672,265,BROADWAY
673,300,DIV SN
674,50,DOWNING
675,87,BARROW
676,48,TRINITY PL
677,3,AVE
678,16,VARICK PL
679,251,10
680,10,2
681,93,PITT
682,566,BROADWAY
683,15,FORSYTH
684,19,AVE A
685,NA,N Y 66 WALL
686,72,WALL
687,106,LEWIS
688,584,WATER
689,98,CHMBRS
690,NA,UP STAIRS
691,142,LEWIS
692,265,DIVISION
693,54,BRELY
694,523,WASHINGTON
695,114,BOWERY
696,383,CHERRY
697,383,CHERRY
698,99,ORANGE
699,27,MULBERRY
700,26,AVE B
701,31,EK 21
702,246,W 20
703,321,5
704,33,ANTHONY
705,234,CLINTON
706,245,ELIZABETH
707,154,GREENWICH
708,434,10
709,8,AVE
710,377,9
711,224,E 13
712,31,E 21
713,230,DELNE
714,13,RUTGERS PL
715,25,9
716,76,BROAD
717,320,MONROE
718,320,MONROE
719,334,8
720,364,CHERRY
721,89,MARKET
722,430,CHERRY
723,22,PRINCE
724,75,FRANKFORT
725,358,CHERRY
726,196,CHAMBERS
727,NA,EUROPE
728,272,DIVISION
729,176,W 18
730,NA,BROOKLYN
731,483,GREENWICH
732,148,WOOSTER
733,196,CHERRY
734,324,ANN
735,106,AVE C
736,240,WILLIAM AND 10 DUANE WILLIAM
