,n_street1,n_street2,c_street1,c_street2,Full Address,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City
156,,,,,319 Hudson,319 HUDSON,319.0,HUDSON,,,,,
157,,,,,34 Av C,34 AV C,34.0,AV C,,,,,
158,,,,,22 Market,22 MARKET,22.0,MARKET,,,,,
159,,,,,333 Broadway,333 BROADWAY,333.0,BROADWAY,,,,,
160,,,,,616 Broadway,616 BROADWAY,616.0,BROADWAY,,,,,
161,,,,,100 Sullivan,100 SULLIVAN,100.0,SULLIVAN,,,,,
162,,,,,281 E 13th,281 E 13TH,281.0,E 13TH,,,,,
163,,,,,398 West,398 WEST,398.0,WEST,,,,,
164,,,,,34 Elizabeth,34 ELIZABETH,34.0,ELIZABETH,,,,,
165,,,,,119 Lewis,119 LEWIS,119.0,LEWIS,,,,,
166,,,,,30 Fifth,30 5TH,30.0,FIFTH,,,,,
167,,,,,457 West 95 Bank,457 WEST 95 BANK,457.0,WEST 95 BANK,,,,,
168,,,,,33 Front,33 FRONT,33.0,FRONT,,,,,
169,,,,,129 Charles,129 CHARLES,129.0,CHARLES,,,,,
170,,,,,159 Chatham,159 CHATHAM,159.0,CHATHAM,,,,,
171,,,,,76 Mulberry,76 MULBERRY,76.0,MULBERRY,,,,,
172,,,,,391 Broome,391 BROOME,391.0,BROOME,,,,,
173,,,,,45 Broadway 16 State,45 BROADWAY 16 STATE,45.0,BROADWAY 16 STATE,,,,,
174,,,,,54 Av C,54 AV C,54.0,AV C,,,,,
175,,,,,588 Fourth,588 4TH,588.0,FOURTH,,,,,
176,,,,,2 Bowery,2 BOWERY,2.0,BOWERY,,,,,
177,,,Ninth,Av C,Ninth c Av C,9TH C AV C,,,NINTH C AV C,,,,
178,,,,,208 Elm,208 ELM,208.0,ELM,,,,,
179,,,,,279 Delancy,279 DELANCY,279.0,DELANCY,,,,,
180,,,,,35 Clinton place,35 CLINTON PLACE,35.0,CLINTON PLACE,,,,,
181,,,,,721 Broadway,721 BROADWAY,721.0,BROADWAY,,,,,
182,,,,,25 Av B,25 AV B,25.0,AV B,,,,,
183,,,,,49 Av B,49 AV B,49.0,AV B,,,,,
184,,,,,529 Greenwich,529 GREENWICH,529.0,GREENWICH,,,,,
185,,,,,215 W 18th,215 W 18TH,215.0,W 18TH,,,,,
186,,,,,62 Sixth,62 6TH,62.0,SIXTH,,,,,
187,,,,,151 W Broadway,151 W BROADWAY,151.0,W BROADWAY,,,,,
188,,,,,367 Sixth,367 6TH,367.0,SIXTH,,,,,
189,,,,,536 Pearl,536 PEARL,536.0,PEARL,,,,,
190,,,,,134 Broome,134 BROOME,134.0,BROOME,,,,,
191,,,,,241 Mott,241 MOTT,241.0,MOTT,,,,,
192,,,,,8 University place,8 UNIVERSITY PLACE,8.0,UNIVERSITY PLACE,,,,,
193,,,,,43 New,43 NEW,43.0,NEW,,,,,
194,,,,,149 Bowery,149 BOWERY,149.0,BOWERY,,,,,
195,E 22d,Av 3,,,E 22d n Av 3,E 22D N AV 3,,,E 22D N AV 3,,,,
196,,,,,92 Delancy,92 DELANCY,92.0,DELANCY,,,,,
197,,,,,346 Sixth,346 6TH,346.0,SIXTH,,,,,
198,,,,,6 Columbia place,6 COLUMBIA PLACE,6.0,COLUMBIA PLACE,,,,,
199,,,,,153 Goerck,153 GOERCK,153.0,GOERCK,,,,,
200,,,,,184 Spring,184 SPRING,184.0,SPRING,,,,,
201,,,,,22 Mulberry,22 MULBERRY,22.0,MULBERRY,,,,,
202,,,,,27 Columbia,27 COLUMBIA,27.0,COLUMBIA,,,,,
203,,,,,214 E 11th,214 E 11TH,214.0,E 11TH,,,,,
204,Twelfth,Dry dock,,,Twelfth n Dry dock,12TH N DRY DOCK,,,TWELFTH N DRY DOCK,,,,
205,,,,,75 Varick,75 VARICK,75.0,VARICK,,,,,
206,,,,,203 Mercer,203 MERCER,203.0,MERCER,,,,,
207,,,,,Harlem,HARLEM,,,,,,,
208,,,,,34 Av B,34 AV B,34.0,AV B,,,,,
209,,,,,284 E 13th,284 E 13TH,284.0,E 13TH,,,,,
210,,,,,Starr,STARR,,,,,,,
211,,,,,46 Hudson,46 HUDSON,46.0,HUDSON,,,,,
212,,,,,18 Doyer,18 DOYER,18.0,DOYER,,,,,
213,,,,,19 Pell,19 PELL,19.0,PELL,,,,,
214,,,,,5 State,5 STATE,5.0,STATE,,,,,
215,,,,,192 Av 1,192 AV 1,192.0,AV 1,,,,,
216,,,,,127 Ridge,127 RIDGE,127.0,RIDGE,,,,,
217,,,,,115 Delancy,115 DELANCY,115.0,DELANCY,,,,,
218,,,,,0 Beekman,0 BEEKMAN,0.0,BEEKMAN,,,,,
219,,,,,564 Grand,564 GRAND,564.0,GRAND,,,,,
220,,,,,200 Fulton,200 FULTON,200.0,FULTON,,,,,
221,,,,,113 Clinton Brooklyn,113 CLINTON BROOKLYN,113.0,CLINTON,BROOKLYN,,,,
222,,,,,115 Pearl,115 PEARL,115.0,PEARL,,,,,
223,,,,,254 Washington Jersey City,254 WASHINGTON JERSEY CITY,254.0,WASHINGTON JERSEY CITY,,,,,
224,,,,,195 Monroe,195 MONROE,195.0,MONROE,,,,,
225,,,,,217 W 18th,217 W 18TH,217.0,W 18TH,,,,,
226,,,,,161 Madison,161 MADISON,161.0,MADISON,,,,,
227,,,,,65 S Fifth Williamsburg,65 S 5TH WILLIAMSBURG,65.0,S FIFTH WILLIAMSBURG,,,,,
228,,,,,687 Hudson,687 HUDSON,687.0,HUDSON,,,,,
229,,,,,675 Fourth,675 4TH,675.0,FOURTH,,,,,
230,,,,,21 Av C,21 AV C,21.0,AV C,,,,,
231,,,,,B klyn,B KLYN,,,B KLYN,,,,
232,,,,,65 Monroe,65 MONROE,65.0,MONROE,,,,,
233,,,,,263 Third,263 3RD,263.0,THIRD,,,,,
234,,,,,128 Suffolk,128 SUFFOLK,128.0,SUFFOLK,,,,,
235,,,,,12 Washington square,12 WASHINGTON SQUARE,12.0,WASHINGTON SQUARE,,,,,
236,,,,,674 Fourth,674 4TH,674.0,FOURTH,,,,,
237,,,,,90 Essex,90 ESSEX,90.0,ESSEX,,,,,
238,,,,,82 E B way,82 E B WAY,82.0,E B WAY,,,,,
239,,,,,600 Fourth,600 4TH,600.0,FOURTH,,,,,
240,,,,,58 Cedar,58 CEDAR,58.0,CEDAR,,,,,
241,,,,,297 Third,297 3RD,297.0,THIRD,,,,,
242,,,,,121 Water,121 WATER,121.0,WATER,,,,,
243,,,,,Astor House,ASTOR HOUSE,,,ASTOR HOUSE,,,,
244,,,,,552 Broadway,552 BROADWAY,552.0,BROADWAY,,,,,
245,,,,,302 Third,302 3RD,302.0,THIRD,,,,,
246,,,,,350 Av 1,350 AV 1,350.0,AV 1,,,,,
247,,,,,Brooklyn,BROOKLYN,,,,,,,
248,,,,,37 Av D,37 AV D,37.0,AV D,,,,,
249,,,,,12 Wall,12 WALL,12.0,WALL,,,,,
250,,,,,15 Union pl Hoboken,15 UNION PL HOBOKEN,15.0,UNION PL,HOBOKEN,,,,
251,,,,,449 W 29th,449 W 29TH,449.0,W 29TH,,,,,
252,,,,,650 Fourth,650 4TH,650.0,FOURTH,,,,,
253,,,,,650 Fourth,650 4TH,650.0,FOURTH,,,,,
254,EF 23d,Av 4,,,EF 23d n Av 4,EF 23D N AV 4,,,EF 23D N AV 4,,,,
255,,,,,263 Third,263 3RD,263.0,THIRD,,,,,
