,n_street1,n_street2,c_street1,c_street2,Full Address,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City
33384,,,,,173 Essex,173 ESSEX,173.0,ESSEX,,,,,
33385,,,,,240 Washgtn,240 WASHGTN,240.0,WASHGTN,,,,,
33386,W 32d,Av 8,,,W 32d n Av 8,W 32D N AV 8,,,W 32D N AV 8,,,,
33387,,,,,33 Leonard,33 LEONARD,33.0,LEONARD,,,,,
33388,,,,,,,,,,,,,
33389,,,,,238 Henry,238 HENRY,238.0,HENRY,,,,,
33390,,,,,2204 Broome,2204 BROOME,2204.0,BROOME,,,,,
33391,,,,,248 Second,248 2ND,248.0,SECOND,,,,,
33392,,,,,230 E 13th 4,230 E 13TH 4,230.0,E 13TH 4,,,,,
33393,,,,,180 Laurens,180 LAURENS,180.0,LAURENS,,,,,
33394,,,,,120 Twelfth,120 12TH,120.0,TWELFTH,,,,,
33395,,,,,236 Mulberry,236 MULBERRY,236.0,MULBERRY,,,,,
33396,W 42d,Av 7,,,W 42d n Av 7,W 42D N AV 7,,,W 42D N AV 7,,,,
33397,,,,,345 Av 8,345 AV 8,345.0,AV 8,,,,,
33398,,,,,180 W 20th,180 W 20TH,180.0,W 20TH,,,,,
33399,W 26th,Av 7,,,W 26th n Av 7,W 26TH N AV 7,,,W 26TH N AV 7,,,,
33400,,,,,364 Av 6,364 AV 6,364.0,AV 6,,,,,
33401,,,,,84 Chambers,84 CHAMBERS,84.0,CHAMBERS,,,,,
33402,,,,,62 N Moore,62 N MOORE,62.0,N MOORE,,,,,
33403,,,,,32 Livingston Brooklyn,32 LIVINGSTON BROOKLYN,32.0,LIVINGSTON,BROOKLYN,,,,
33404,Fiftieth,Av 5,,,Fiftieth n Av 5,50TH N AV 5,,,FIFTIETH N AV 5,,,,
33405,,,,,25 Chthm,25 CHTHM,25.0,CHTHM,,,,,
33406,,,,,Brooklyn,BROOKLYN,,,,,,,
33407,,,,,316 Washgton,316 WASHGTON,316.0,WASHGTON,,,,,
33408,,,,,28 South,28 SOUTH,28.0,SOUTH,,,,,
33409,,,,,19 Amos,19 AMOS,19.0,AMOS,,,,,
33410,,,,,2 Pachin row,2 PACHIN ROW,2.0,PACHIN ROW,,,,,
33411,,,,,813 Broadway,813 BROADWAY,813.0,BROADWAY,,,,,
33412,,,,,44 Divis,44 DIVIS,44.0,DIVIS,,,,,
33413,,,,,22 Av B,22 AV B,22.0,AV B,,,,,
33414,,,,,121 Willet,121 WILLET,121.0,WILLET,,,,,
33415,,,,,421 B 421 Bway,421 B 421 BWAY,421.0,B 421 BWAY,,,,,
33416,,,,,54 Pierpont B klyn,54 PIERPONT B KLYN,54.0,PIERPONT B KLYN,,,,,
33417,,,,,296 Rivington,296 RIVINGTON,296.0,RIVINGTON,,,,,
33418,Av B,Twelfth,,,Av B n Twelfth,AV B N 12TH,,,AV B N TWELFTH,,,,
33419,,,,,Hellgate,HELLGATE,,,,,,,
33420,,,,,467 Hudson,467 HUDSON,467.0,HUDSON,,,,,
33421,,,,,241 Tenth,241 10TH,241.0,TENTH,,,,,
33422,,,,,547 Greenwich,547 GREENWICH,547.0,GREENWICH,,,,,
33423,,,,,641 Washington,641 WASHINGTON,641.0,WASHINGTON,,,,,
33424,,,,,105 Sheriff,105 SHERIFF,105.0,SHERIFF,,,,,
33425,,,,,259 Wm,259 WM,259.0,WM,,,,,
33426,,,,,8 Clarkson,8 CLARKSON,8.0,CLARKSON,,,,,
33427,,,,,4 Caroline,4 CAROLINE,4.0,CAROLINE,,,,,
33428,,,,,Ct,CT,,,,,,,
33429,,,,,547 Greenwich,547 GREENWICH,547.0,GREENWICH,,,,,
33430,,,,,326 Av 8,326 AV 8,326.0,AV 8,,,,,
33431,,,,,326 Av 8,326 AV 8,326.0,AV 8,,,,,
33432,,,,,45 King,45 KING,45.0,KING,,,,,
33433,,,,,11 First,11 1ST,11.0,FIRST,,,,,
33434,,,W 19th,Av 6,W 19th c Av 6,W 19TH C AV 6,,,W 19TH C AV 6,,,,
33435,,,,,395Houston,395HOUSTON,,,,,,,
33436,,,,,Brooklyn,BROOKLYN,,,,,,,
33437,,,,,395 Houston,395 HOUSTON,395.0,HOUSTON,,,,,
33438,,,,,27 FE 22d,27 FE 22D,27.0,FE 22D,,,,,
33439,,,,,547 Greenwich,547 GREENWICH,547.0,GREENWICH,,,,,
33440,,,,,460 Hudsn,460 HUDSN,460.0,HUDSN,,,,,
33441,E 24th,Av 1,,,E 24th n Av 1,E 24TH N AV 1,,,E 24TH N AV 1,,,,
33442,,,,,386 Av 6,386 AV 6,386.0,AV 6,,,,,
33443,,,,,103 Mott,103 MOTT,103.0,MOTT,,,,,
33444,,,,,242 W 24th,242 W 24TH,242.0,W 24TH,,,,,
33445,,,,,63 Division,63 DIVISION,63.0,DIVISION,,,,,
33446,,,,,9 Walker,9 WALKER,9.0,WALKER,,,,,
33447,,,,,159 Division,159 DIVISION,159.0,DIVISION,,,,,
33448,,,,,Conn,CONN,,,,,,,
33449,E 29th,Av 3,,,E 29th n Av 3,E 29TH N AV 3,,,E 29TH N AV 3,,,,
33450,,,,,118 W 22d,118 W 22D,118.0,W 22D,,,,,
33451,,,,,396 Broadway,396 BROADWAY,396.0,BROADWAY,,,,,
33452,,,,,,,,,,,,,
33453,,,,,3i Dominick,3I DOMINICK,,,3I DOMINICK,,,,
33454,,,,,80 Orchard,80 ORCHARD,80.0,ORCHARD,,,,,
33455,,,,,120 Bowry,120 BOWRY,120.0,BOWRY,,,,,
33456,,,,,75 Nassau,75 NASSAU,75.0,NASSAU,,,,,
33457,,,,,83 E 15th,83 E 15TH,83.0,E 15TH,,,,,
33458,,,,,264 Seventh,264 7TH,264.0,SEVENTH,,,,,
33459,,,,,54 Vesey,54 VESEY,54.0,VESEY,,,,,
33460,,,,,721 B way,721 B WAY,721.0,B WAY,,,,,
33461,,,,,40 South,40 SOUTH,40.0,SOUTH,,,,,
33462,,,,,W msburgh,W MSBURGH,,,W MSBURGH,,,,
33463,,,,,139 Av 2 86 Front h 93 8 8th Williamsburgh,139 AV 2 86 FRONT H 93 8 8TH WILLIAMSBURGH,139.0,AV 2 86 FRONT H 93 8 8TH WILLIAMSBURGH,,,,,
33464,,,,,44 Cortlandt,44 CORTLANDT,44.0,CORTLANDT,,,,,
33465,W 36th,Av 10,,,W 36th n Av 10,W 36TH N AV 10,,,W 36TH N AV 10,,,,
33466,W 36th,Av 1 hr W 36th n Av 11,,,W 36th n Av 1 hr W 36th n Av 11,W 36TH N AV 1 HR W 36TH N AV 11,,,W 36TH N AV 1 HR W 36TH N AV 11,,,,
33467,,,,,23 City & Macoubrey John 288 Walker,23 CITY & MACOUBREY JOHN 288 WALKER,23.0,CITY & MACOUBREY JOHN 288 WALKER,,,,,
33468,,,,,124 Av 6,124 AV 6,124.0,AV 6,,,,,
33469,,,,,51 Orchard,51 ORCHARD,51.0,ORCHARD,,,,,
33470,,,,,8 EK 38th Macpherson Alexander A 216 Hester and,8 EK 38TH MACPHERSON ALEXANDER A 216 HESTER AND,8.0,EK 38TH MACPHERSON ALEXANDER A 216 HESTER AND,,,,,
33471,,,,,37 E 27th pawnbroker 2234 Division h 111 Mulberry,37 E 27TH PAWNBROKER 2234 DIVISION H 111 MULBERRY,37.0,E 27TH PAWNBROKER 2234 DIVISION H 111 MULBERRY,,,,,
33472,172 Amos Macpherson George W 37th,Av 10,,,172 Amos Macpherson George W 37th n Av 10,172 AMOS MACPHERSON GEORGE W 37TH N AV 10,172.0,AMOS MACPHERSON GEORGE W 37TH N AV 10,,,,,
33473,,,,,96 Av 9 Macpherson Margaret Av 11,96 AV 9 MACPHERSON MARGARET AV 11,96.0,AV 9 MACPHERSON MARGARET AV 11,,,,,
33474,,,,,87 Thompson & Macready John 2 Dey,87 THOMPSON & MACREADY JOHN 2 DEY,87.0,THOMPSON & MACREADY JOHN 2 DEY,,,,,
33475,602 Grand Macready Wm W 36th,Av 10,,,602 Grand Macready Wm W 36th n Av 10,602 GRAND MACREADY WM W 36TH N AV 10,602.0,GRAND MACREADY WM W 36TH N AV 10,,,,,
33476,E 37th,Av 4,,,61Division & Macrea William h E 37th n Av 4,61DIVISION & MACREA WILLIAM H E 37TH N AV 4,,,61DIVISION & MACREA WILLIAM H E 37TH N AV 4,,,,
33477,,,,,14 Tenth Macrink Wm 88 Leonard h 62 Marion,14 10TH MACRINK WM 88 LEONARD H 62 MARION,14.0,TENTH MACRINK WM 88 LEONARD H 62 MARION,,,,,
33478,,,,,462 Grand Mactier Alexander 41 Lafayette pl,462 GRAND MACTIER ALEXANDER 41 LAFAYETTE PL,462.0,GRAND MACTIER ALEXANDER 41 LAFAYETTE PL,,,,,
33479,,,,,130 Division Mactoy Martin 28 Duane,130 DIVISION MACTOY MARTIN 28 DUANE,130.0,DIVISION MACTOY MARTIN 28 DUANE,,,,,
33480,,,,,250 W 16th Macully James F 78 Perry,250 W 16TH MACULLY JAMES F 78 PERRY,250.0,W 16TH MACULLY JAMES F 78 PERRY,,,,,
33481,,,,,35 Vandam Macveen Mary Dry,35 VANDAM MACVEEN MARY DRY,35.0,VANDAM MACVEEN MARY DRY,,,,,
33482,,,380 Bleecker dock,Tenth,380 Bleecker dock c Tenth,380 BLEECKER DOCK C 10TH,380.0,BLEECKER DOCK C TENTH,,,,,
33483,,,,,73 Columbia Macvey Catharine 254 Grand,73 COLUMBIA MACVEY CATHARINE 254 GRAND,73.0,COLUMBIA MACVEY CATHARINE 254 GRAND,,,,,
33484,,,,,94 Vesey & Macwithy Amasa Alonzo h 6 Prince,94 VESEY & MACWITHY AMASA ALONZO H 6 PRINCE,94.0,VESEY & MACWITHY AMASA ALONZO H 6 PRINCE,,,,,
33485,,,,,45 FE 21st,45 FE 21ST,45.0,FE 21ST,,,,,
33486,,,,,67 Twelfth,67 12TH,67.0,TWELFTH,,,,,
33487,,,,,173 Henry,173 HENRY,173.0,HENRY,,,,,
33488,,,,,8 Sullivan,8 SULLIVAN,8.0,SULLIVAN,,,,,
33489,,,,,Jersey city,JERSEY CITY,,,JERSEY CITY,,,,
33490,,,,,58 Spring,58 SPRING,58.0,SPRING,,,,,
33491,,,,,344 West,344 WEST,344.0,WEST,,,,,
33492,,,,,79 Charlton,79 CHARLTON,79.0,CHARLTON,,,,,
33493,,,,,Av 5c W 23d,AV 5C W 23D,,,AV 5C W 23D,,,,
33494,,,,,95 F ranklin,95 F RANKLIN,95.0,F RANKLIN,,,,,
33495,,,,,190 W 17th,190 W 17TH,190.0,W 17TH,,,,,
33496,,,,,85 Clinton,85 CLINTON,85.0,CLINTON,,,,,
33497,,,,,191 Elizabeth,191 ELIZABETH,191.0,ELIZABETH,,,,,
33498,,,,,8 Sullivan,8 SULLIVAN,8.0,SULLIVAN,,,,,
33499,,,,,293,293,293.0,,,,,,
33500,,,,,25 Watts,25 WATTS,25.0,WATTS,,,,,
33501,,,,,74 W 18th,74 W 18TH,74.0,W 18TH,,,,,
33502,,,,,58 Spring,58 SPRING,58.0,SPRING,,,,,
33503,,,,,73 White,73 WHITE,73.0,WHITE,,,,,
33504,,,,,60 Broad,60 BROAD,60.0,BROAD,,,,,
33505,,,,,184 W 19th,184 W 19TH,184.0,W 19TH,,,,,
33506,,,,,115 Fourth,115 4TH,115.0,FOURTH,,,,,
33507,,,,,204 E,204 E,204.0,E,,,,,
33508,,,,,314 EK 25th,314 EK 25TH,314.0,EK 25TH,,,,,
33509,,,,,185 KE 17th,185 KE 17TH,185.0,KE 17TH,,,,,
33510,,,,,64 Vandam,64 VANDAM,64.0,VANDAM,,,,,
33511,,,,,49 Roosevelt,49 ROOSEVELT,49.0,ROOSEVELT,,,,,
33512,,,,,,,,,,,,,
33513,,,,,58 F rankfort,58 F RANKFORT,58.0,F RANKFORT,,,,,
33514,,,,,279 Mulberry,279 MULBERRY,279.0,MULBERRY,,,,,
33515,,,,,279 Mulberry,279 MULBERRY,279.0,MULBERRY,,,,,
33516,,,,,308 Water,308 WATER,308.0,WATER,,,,,
33517,,,,,Jamaica,JAMAICA,,,,,,,
33518,,,,,168,168,168.0,,,,,,
33519,,,,,292 Houston,292 HOUSTON,292.0,HOUSTON,,,,,
33520,,,Av C,Tenth,Av C c Tenth,AV C C 10TH,,,AV C C TENTH,,,,
33521,,,,,Jersey city,JERSEY CITY,,,JERSEY CITY,,,,
33522,,,,,3 Knapps pl,3 KNAPPS PL,3.0,KNAPPS PL,,,,,
33523,,,,,133 Madison,133 MADISON,133.0,MADISON,,,,,
33524,,,,,82 W 18th,82 W 18TH,82.0,W 18TH,,,,,
33525,,,,,117 Stanton,117 STANTON,117.0,STANTON,,,,,
33526,,,,,71 Irving pl,71 IRVING PL,71.0,IRVING PL,,,,,
33527,,,,,215 Chrystie,215 CHRYSTIE,215.0,CHRYSTIE,,,,,
33528,,,,,150 Greenwich,150 GREENWICH,150.0,GREENWICH,,,,,
33529,,,,,261 Twelfth,261 12TH,261.0,TWELFTH,,,,,
33530,,,,,125 Ludlow,125 LUDLOW,125.0,LUDLOW,,,,,
33531,,,,,38 Hammersley,38 HAMMERSLEY,38.0,HAMMERSLEY,,,,,
33532,,,,,23 E 22d,23 E 22D,23.0,E 22D,,,,,
33533,,,,,91 Catharine,91 CATHARINE,91.0,CATHARINE,,,,,
33534,,,,,229 Tenth,229 10TH,229.0,TENTH,,,,,
33535,,,,,212 E llth,212 E LLTH,212.0,E LLTH,,,,,
33536,,,,,82 Cannon,82 CANNON,82.0,CANNON,,,,,
33537,,,,,173 Henry,173 HENRY,173.0,HENRY,,,,,
33538,,,,,Wmsbg,WMSBG,,,,,,,
33539,,,,,Avs 1 & 2 h 49 Delancy,AVS 1 & 2 H 49 DELANCY,1.0,& 2 H 49 DELANCY,,,,,
33540,W 40th,Av 8,,,W 40th n Av 8,W 40TH N AV 8,,,W 40TH N AV 8,,,,
33541,,,,,159 Henry,159 HENRY,159.0,HENRY,,,,,
33542,,,,,179 E Broadway,179 E BROADWAY,179.0,E BROADWAY,,,,,
33543,,,,,179 E B way,179 E B WAY,179.0,E B WAY,,,,,
33544,,,,,W msbr,W MSBR,,,W MSBR,,,,
33545,,,,,47 E 21st,47 E 21ST,47.0,E 21ST,,,,,
33546,,,,,146 Fulton,146 FULTON,146.0,FULTON,,,,,
33547,,,,,169 South,169 SOUTH,169.0,SOUTH,,,,,
33548,,,,,11 Madison sq,11 MADISON SQ,11.0,MADISON SQ,,,,,
33549,,,,,39 Goerck,39 GOERCK,39.0,GOERCK,,,,,
33550,,,,,142 Suffolk,142 SUFFOLK,142.0,SUFFOLK,,,,,
33551,,,,,106 Essex,106 ESSEX,106.0,ESSEX,,,,,
33552,,,,,106 Essex,106 ESSEX,106.0,ESSEX,,,,,
33553,,,,,242 Seventh,242 7TH,242.0,SEVENTH,,,,,
33554,,,,,52 Vandam,52 VANDAM,52.0,VANDAM,,,,,
33555,,,,,277 Mott,277 MOTT,277.0,MOTT,,,,,
33556,,,,,82 Uni versity pl,82 UNI VERSITY PL,82.0,UNI VERSITY PL,,,,,
33557,,,,,13 Mangin,13 MANGIN,13.0,MANGIN,,,,,
33558,,,,,201 Seventh,201 7TH,201.0,SEVENTH,,,,,
33559,,,W 28th,Av 8,W 28th c Av 8,W 28TH C AV 8,,,W 28TH C AV 8,,,,
33560,,,,,84 Av B,84 AV B,84.0,AV B,,,,,
33561,,,,,103 Crosb,103 CROSB,103.0,CROSB,,,,,
33562,,,,,264 Bowery,264 BOWERY,264.0,BOWERY,,,,,
33563,,,,,43 Frankft,43 FRANKFT,43.0,FRANKFT,,,,,
33564,,,,,44 Frankfort,44 FRANKFORT,44.0,FRANKFORT,,,,,
33565,,,,,280 Mulberry,280 MULBERRY,280.0,MULBERRY,,,,,
33566,,,,,616 Fourth,616 4TH,616.0,FOURTH,,,,,
33567,,,,,351 Greenwich,351 GREENWICH,351.0,GREENWICH,,,,,
33568,,,,,114 ssex,114 SSEX,114.0,SSEX,,,,,
33569,,,,,261 E 25th,261 E 25TH,261.0,E 25TH,,,,,
33570,,,,,261 E 25th,261 E 25TH,261.0,E 25TH,,,,,
33571,,,,,114 Essex,114 ESSEX,114.0,ESSEX,,,,,
33572,,,,,100 Eldridge,100 ELDRIDGE,100.0,ELDRIDGE,,,,,
33573,,,,,40 Clarkson,40 CLARKSON,40.0,CLARKSON,,,,,
33574,,,,,10 Mott,10 MOTT,10.0,MOTT,,,,,
33575,,,,,209 Elm,209 ELM,209.0,ELM,,,,,
33576,,,,,253 Fifth,253 5TH,253.0,FIFTH,,,,,
33577,,,,,200 Av B,200 AV B,200.0,AV B,,,,,
33578,W 27th,Av 10,,,W 27th n Av 10,W 27TH N AV 10,,,W 27TH N AV 10,,,,
33579,,,,,142 Christopher,142 CHRISTOPHER,142.0,CHRISTOPHER,,,,,
33580,,,,,30 Jay,30 JAY,30.0,JAY,,,,,
33581,,,,,10 Bethune,10 BETHUNE,10.0,BETHUNE,,,,,
33582,,,,,35 Sheriff,35 SHERIFF,35.0,SHERIFF,,,,,
33583,,,,,211 Fifth,211 5TH,211.0,FIFTH,,,,,
33584,,,,,201 W 15th,201 W 15TH,201.0,W 15TH,,,,,
33585,,,,,168 Second,168 2ND,168.0,SECOND,,,,,
33586,,,,,33 Troy,33 TROY,33.0,TROY,,,,,
33587,,,,,233 Av 6,233 AV 6,233.0,AV 6,,,,,
33588,,,,,Wmsburg,WMSBURG,,,,,,,
33589,,,,,69 Goerck,69 GOERCK,69.0,GOERCK,,,,,
33590,,,,,294 Bleecker,294 BLEECKER,294.0,BLEECKER,,,,,
33591,,,,,68 Av B,68 AV B,68.0,AV B,,,,,
33592,,,,,14U V,14U V,,,14U V,,,,
33593,,,,,4 Pearl,4 PEARL,4.0,PEARL,,,,,
33594,,,,,220 Elizabeth Maguire Dennis 561 Fourth,220 ELIZABETH MAGUIRE DENNIS 561 4TH,220.0,ELIZABETH MAGUIRE DENNIS 561 FOURTH,,,,,
33595,,,,,,,,,,,,,
33596,,,,,50 Perry Spring,50 PERRY SPRING,50.0,PERRY SPRING,,,,,
33597,,,,,60 Cherry Maguire kdward 605 Water,60 CHERRY MAGUIRE KDWARD 605 WATER,60.0,CHERRY MAGUIRE KDWARD 605 WATER,,,,,
33598,5 Cannon Maguire Hugh W 32d,Av 10,,,5 Cannon Maguire Hugh W 32d n Av 10,5 CANNON MAGUIRE HUGH W 32D N AV 10,5.0,CANNON MAGUIRE HUGH W 32D N AV 10,,,,,
33599,,,,,91 Hamersley MAGUIRE 167 Chatham,91 HAMERSLEY MAGUIRE 167 CHATHAM,91.0,HAMERSLEY MAGUIRE 167 CHATHAM,,,,,
33600,,,,,167 Chatham,167 CHATHAM,167.0,CHATHAM,,,,,
33601,,,,,262 Fifth 262 Fifth,262 5TH 262 5TH,262.0,FIFTH 262 FIFTH,,,,,
33602,,,,,609 Greenwich & Maguire John 555 Fourth,609 GREENWICH & MAGUIRE JOHN 555 4TH,609.0,GREENWICH & MAGUIRE JOHN 555 FOURTH,,,,,
33603,66 Ridge Maguire John W 26th,Av 8,,,66 Ridge Maguire John W 26th n Av 8,66 RIDGE MAGUIRE JOHN W 26TH N AV 8,66.0,RIDGE MAGUIRE JOHN W 26TH N AV 8,,,,,
33604,,,,,Maguire Margaret 357 Houston,MAGUIRE MARGARET 357 HOUSTON,,,MAGUIRE MARGARET 357 HOUSTON,,,,
33605,,,,,Broad,BROAD,,,,,,,
33606,93 Av A way,W 39th,,,93 Av A way n W 39th,93 AV A WAY N W 39TH,93.0,AV A WAY N W 39TH,,,,,
33607,,,,,Av 9m W 29th Maguire Mark 259 Elizabeth,AV 9M W 29TH MAGUIRE MARK 259 ELIZABETH,,,AV 9M W 29TH MAGUIRE MARK 259 ELIZABETH,,,,
33608,,,,,72 FE 22d & Maguire Michael 494 Pearl,72 FE 22D & MAGUIRE MICHAEL 494 PEARL,72.0,FE 22D & MAGUIRE MICHAEL 494 PEARL,,,,,
33609,W 24th,Av 6 Maguire Patrick 362 Greenwich bh 193,,,W 24th n Av 6 Maguire Patrick 362 Greenwich bh 193,W 24TH N AV 6 MAGUIRE PATRICK 362 GREENWICH BH 193,,,W 24TH N AV 6 MAGUIRE PATRICK 362 GREENWICH BH 193,,,,
33610,,,,,210 Chatham sq,210 CHATHAM SQ,210.0,CHATHAM SQ,,,,,
33611,,,,,10 Eldridge Maguire Patrick 655 Hudson,10 ELDRIDGE MAGUIRE PATRICK 655 HUDSON,10.0,ELDRIDGE MAGUIRE PATRICK 655 HUDSON,,,,,
33612,,,,,113 South 6 West,113 SOUTH 6 WEST,113.0,SOUTH 6 WEST,,,,,
33613,,,,,17 Oliver,17 OLIVER,17.0,OLIVER,,,,,
33614,,,,,7 Dey Maguire Richard Tompkins,7 DEY MAGUIRE RICHARD TOMPKINS,7.0,DEY MAGUIRE RICHARD TOMPKINS,,,,,
33615,,,,,Clinton & M Janey h Hoboken a,CLINTON & M JANEY H HOBOKEN A,,,CLINTON & M JANEY H HOBOKEN A,,,,
33616,,,,,167 Ludlow,167 LUDLOW,167.0,LUDLOW,,,,,
33617,,,,,190 Mott,190 MOTT,190.0,MOTT,,,,,
33618,,,,,56 Macdougal Maguire Thomas 102 Catharine,56 MACDOUGAL MAGUIRE THOMAS 102 CATHARINE,56.0,MACDOUGAL MAGUIRE THOMAS 102 CATHARINE,,,,,
33619,,,,,101 & Maguire Thomas 153 & Grand,101 & MAGUIRE THOMAS 153 & GRAND,101.0,& MAGUIRE THOMAS 153 & GRAND,,,,,
33620,,,,,338 Beway,338 BEWAY,338.0,BEWAY,,,,,
33621,,,,,360 & Maguire Wm 66 E B h 66 E B way,360 & MAGUIRE WM 66 E B H 66 E B WAY,360.0,& MAGUIRE WM 66 E B H 66 E B WAY,,,,,
33622,,,,,106,106,106.0,,,,,,
33623,,,,,168 Av roadway,168 AV ROADWAY,168.0,AV ROADWAY,,,,,
33624,E 29d,Ay 4 Mahedy Edward 89 Orange,,,E 29d n Ay 4 Mahedy Edward 89 Orange,E 29D N AY 4 MAHEDY EDWARD 89 ORANGE,,,E 29D N AY 4 MAHEDY EDWARD 89 ORANGE,,,,
33625,,,,,236 Monroe Mahady Patrick h 41 Watts,236 MONROE MAHADY PATRICK H 41 WATTS,236.0,MONROE MAHADY PATRICK H 41 WATTS,,,,,
33626,,,,,88 Clinton pl Mehafty Ann 90 James,88 CLINTON PL MEHAFTY ANN 90 JAMES,88.0,CLINTON PL MEHAFTY ANN 90 JAMES,,,,,
33627,,,,,42 W Broadway,42 W BROADWAY,42.0,W BROADWAY,,,,,
33628,,,,,354 Grand 90 Chat,354 GRAND 90 CHAT,354.0,GRAND 90 CHAT,,,,,
33629,,,,,240 Av 6,240 AV 6,240.0,AV 6,,,,,
33630,,,,,188 Av B Mahaney Ellen A 83 Madison,188 AV B MAHANEY ELLEN A 83 MADISON,188.0,AV B MAHANEY ELLEN A 83 MADISON,,,,,
33631,,,,,130 Hester Mahaney J ames 92 Broadway,130 HESTER MAHANEY J AMES 92 BROADWAY,130.0,HESTER MAHANEY J AMES 92 BROADWAY,,,,,
33632,,,,,130 Hester 56 Sullivan,130 HESTER 56 SULLIVAN,130.0,HESTER 56 SULLIVAN,,,,,
33633,,,,,500,500,500.0,,,,,,
33634,,,,,167 Broome Greenwich,167 BROOME GREENWICH,167.0,BROOME GREENWICH,,,,,
33635,,,,,13 City Hall pl Mahaney Timothy 408 Water,13 CITY HALL PL MAHANEY TIMOTHY 408 WATER,13.0,CITY HALL PL MAHANEY TIMOTHY 408 WATER,,,,,
33636,,,,,24 Thames ker h 4 Whit,24 THAMES KER H 4 WHIT,24.0,THAMES KER H 4 WHIT,,,,,
33637,,,,,318 Spring Mahaney Thomas 107 Walker h ite,318 SPRING MAHANEY THOMAS 107 WALKER H ITE,318.0,SPRING MAHANEY THOMAS 107 WALKER H ITE,,,,,
33638,,,,,124 & Mahany Fdmond 98 Oliver h 85 Madison,124 & MAHANY FDMOND 98 OLIVER H 85 MADISON,124.0,& MAHANY FDMOND 98 OLIVER H 85 MADISON,,,,,
33639,,,,,Brooklyn,BROOKLYN,,,,,,,
33640,,,,,22 Rector Mahar John T 367 Pearl h 3 ear,22 RECTOR MAHAR JOHN T 367 PEARL H 3 EAR,22.0,RECTOR MAHAR JOHN T 367 PEARL H 3 EAR,,,,,
33641,,,,,121 Cherry Mahar Lawrence 88 James,121 CHERRY MAHAR LAWRENCE 88 JAMES,121.0,CHERRY MAHAR LAWRENCE 88 JAMES,,,,,
33642,,,,,203 Allen Mahar Michael 228 W 16th,203 ALLEN MAHAR MICHAEL 228 W 16TH,203.0,ALLEN MAHAR MICHAEL 228 W 16TH,,,,,
33643,,,,,147 Eldridge Mahar Timothy 81 James,147 ELDRIDGE MAHAR TIMOTHY 81 JAMES,147.0,ELDRIDGE MAHAR TIMOTHY 81 JAMES,,,,,
33644,,,,,18s Walker Mahar William 9 Henry,18S WALKER MAHAR WILLIAM 9 HENRY,,,18S WALKER MAHAR WILLIAM 9 HENRY,,,,
33645,,,,,476 Pearl,476 PEARL,476.0,PEARL,,,,,
33646,,,,,92 & Mahedy John 89 Hester,92 & MAHEDY JOHN 89 HESTER,92.0,& MAHEDY JOHN 89 HESTER,,,,,
33647,,,,,238 Mulberry,238 MULBERRY,238.0,MULBERRY,,,,,
33648,,,,,59 v8,59 V8,59.0,V8,,,,,
33649,,,,,herry,HERRY,,,,,,,
33650,,,,,148 Charles & Maher John a17 Eighth bh,148 CHARLES & MAHER JOHN A17 8TH BH,148.0,CHARLES & MAHER JOHN A17 EIGHTH BH,,,,,
33651,,,,,sherry,SHERRY,,,,,,,
33652,,,,,1 Sixth 1 Sixth,1 6TH 1 6TH,1.0,SIXTH 1 SIXTH,,,,,
33653,,,,,187 Forsyth Maher Michael 648 Gran,187 FORSYTH MAHER MICHAEL 648 GRAN,187.0,FORSYTH MAHER MICHAEL 648 GRAN,,,,,
33654,,,,,3 Hubert Maher Michael 48 Cherry,3 HUBERT MAHER MICHAEL 48 CHERRY,3.0,HUBERT MAHER MICHAEL 48 CHERRY,,,,,
33655,,,,,151 Hammond Maher Patrick 140 ve 28th,151 HAMMOND MAHER PATRICK 140 VE 28TH,151.0,HAMMOND MAHER PATRICK 140 VE 28TH,,,,,
33656,,,,,178 Laurens,178 LAURENS,178.0,LAURENS,,,,,
33657,,,,,70 Goerele ey h 52 Ridge,70 GOERELE EY H 52 RIDGE,70.0,GOERELE EY H 52 RIDGE,,,,,
33658,,,,,bh,BH,,,,,,,
33659,,,,,6 Washington market Maher Thomas 3 Av B Barrow,6 WASHINGTON MARKET MAHER THOMAS 3 AV B BARROW,6.0,WASHINGTON MARKET MAHER THOMAS 3 AV B BARROW,,,,,
33660,,,,,Av 2 a Maher Thomas 632 Washgtn he i,AV 2 A MAHER THOMAS 632 WASHGTN HE I,2.0,A MAHER THOMAS 632 WASHGTN HE I,,,,,
33661,Ay 3,E 33 Maher Thomas oose,,,Ay 3 n E 33 Maher Thomas oose,AY 3 N E 33 MAHER THOMAS OOSE,3.0,N E 33 MAHER THOMAS OOSE,,,,,
33662,,,,,64 Frankfort Maher Timothy 25 Howard,64 FRANKFORT MAHER TIMOTHY 25 HOWARD,64.0,FRANKFORT MAHER TIMOTHY 25 HOWARD,,,,,
33663,,,,,374 Pearl Maher Timothy 176 Broome,374 PEARL MAHER TIMOTHY 176 BROOME,374.0,PEARL MAHER TIMOTHY 176 BROOME,,,,,
33664,,,,,312 Broadway,312 BROADWAY,312.0,BROADWAY,,,,,
33665,,,,,858 twee,858 TWEE,858.0,TWEE,,,,,
